sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74
CH_Pstr_10_2017,106106,0.28182601361000154,0.39009305528189686,0.17778143350983922,-0.030310164351789282,-0.004522294883625513,0.028681666401296615,0.0030802282575750775,0.018028398026435844,-0.009130858670078665,0.010792506309951742,-0.03371529258141562,0.0045876300745995285,0.002874740988945893,0.02107164718340445,-0.0011071901629437228,0.010711705105261177,0.007059852188164847,-0.010912455546747187,0.043135403847175784,0.010921710949891984,0.04774341109892674,0.047396373135966466,-0.03444223737411652,-0.012595717092929126,0.0022384370003676,0.03160431295686673,-0.020914185524335847,-0.01531775223786923,0.005523511203679182,0.007045241022162036,-0.01976454399171709,-0.0017975674451784088,-0.009404146703232301,-0.006614055828730794,0.0038304135875458748,0.007214153511966398,0.0026208072789321605,-0.005752530772561277,-0.004351408313429302,0.0011861132780232467,0.014099442487687443,-0.0040700888530849095,0.0003399419433968554,0.005652650617225443,0.00033765538816040585,-0.004524045197496738,-0.0014671629960634194,-0.00031494156062197084,-0.00021369855199074336,0.0006344764097545555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Cnat_12_2017,106108,-0.625430485480496,0.060441009361790664,-0.017136518279294525,-0.03375147834678782,0.009100099520363699,-0.012474961222905694,0.004208922282821857,-0.005280110618607514,-0.01085887510821004,-0.002250513007827735,-0.02215270564318495,-0.002885331682823838,-0.014656266604426567,0.01651303524228826,0.013014427152833076,-0.028538414522842056,0.034059127256353856,-0.08181223044354756,-0.05095523449134855,0.04995983596749255,0.011913186633041502,0.006576477334046779,0.008596926472257104,0.04443161688382658,-0.013533458791668014,0.005563027823824496,0.008801737935126328,-0.002238647585187057,-0.001721575393785484,-0.005958740617295669,0.0023204269382175783,-0.021569252234616285,-0.00355727341656369,0.009608782229477596,0.007057249863392584,0.003450254015603947,-0.012856036563796677,-0.006033655746719614,-0.028559562572133445,-0.000270791001425031,-0.005870880699777505,-0.01231945339865717,0.004148954377171932,-0.0017150197056929686,0.002115548893619701,0.0006836962660154578,0.00011636226524905775,0.0006898299131599536,-0.0007992749485149003,-0.00026935309977856264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Dlab_79_2017,106109,0.24628844585944523,-0.2826330213724371,-0.016351073876481714,-0.17203481099657986,-0.16601074392183432,-0.1692582636079522,-0.0676012406149428,-0.03404014834681049,0.004975881747031169,0.010338031665491998,-0.02732903117976489,-0.035964172372392925,0.010507342126597641,-0.0170606519901845,-0.025550337234365623,0.04251945048194326,-0.02097926727554899,0.019800856885164926,-0.01031015983678143,0.08059015581345562,-0.05069933929597304,0.05486863936611728,0.009009166579092079,-0.012020500287334401,0.03273537960714638,0.04533735858944617,0.05937395442106509,-0.036774534876708405,-0.015121825236051914,0.012580122775674742,8.467625810361219e-05,0.012922728136234083,-0.00731233167729298,-0.018070303462275367,0.00021426479149093047,-0.009293218961575084,-0.006690722450319061,0.004616446328801809,0.0003383432512913423,-0.0019012379287988745,-0.00041242121217286316,-0.0022986306437370943,-0.0005764033271733677,0.0007609554743421952,-0.00035906838798409135,-0.00044808674999505564,-0.000528314428134541,0.00013148951733212258,-1.5856141500466365e-05,-0.0001476851838777827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Cnat_05_2017,106112,-0.6058679608593371,0.05568679219174468,-0.016274787048742488,-0.01282670780727519,-0.0005632417167692529,0.004812077014611332,-0.017403017808518172,0.034956974928561826,0.2154426627409174,0.01460876274919527,-0.04534378201636544,0.0012313857625399233,-0.0004313975055688089,0.01609136623435689,0.0076474260391965745,-0.009565056931637846,0.018407589602068793,-0.003345007647813277,-0.005299200482943327,-0.000610701872010874,-0.007018331529843957,-0.011494177210707748,-0.01462461143984521,-0.031103142629522348,0.006726973173097432,0.008346031374157788,0.01911777285080232,-0.0029603083563441075,0.024320597242630165,-0.003135147611015064,0.011334397493450098,-0.01912325967391308,0.005752076473238878,-0.008022426725423628,0.014270336819481217,-0.002006064734396408,0.011216556041103809,0.002912229084208821,0.016528863119694096,-0.000975641897680219,0.010922026107548237,-0.005574540351174189,0.0031040320017299596,-0.005481948650454954,0.005621833897325685,0.001446419032322971,-0.0004055932272514535,0.002782940881031723,-0.00220851425831774,2.679553506700932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Mcav_06_2017,106113,-0.42380760534729023,0.029126531181904745,-0.01154449951204671,0.0022193534543277623,-0.013827357125956159,0.010555860428396471,-0.016752213216891524,0.0016759807571689255,0.169821677396358,-0.0006660548259290529,-0.023733750664281704,0.010867102861740969,-0.025843196841994365,0.0072693620081315646,0.040491489023649845,0.048716107010080466,0.09432136720081362,0.0782844730719893,0.06686684377934768,-0.09333879036339315,0.0388907045462281,0.020511885451545222,0.029108100688219455,0.012688216446215813,0.0251781255467201,0.015303852171764854,0.019960684884823034,0.025338086584166555,-0.020506153548911166,0.008772783045833208,0.023312594817910644,0.002447948859896637,-0.008861864797838948,0.01016101574732484,-0.011840356381986014,-0.0036945272862871368,-0.0024055831580484834,-0.003732324302378163,-0.0020660686712140807,0.0011502210323441132,-0.0012326068530708254,-0.0005934521411224035,-0.00014657420739347683,0.0017800408061688791,-0.0021437914557778342,-0.00022732787700594165,0.00016578568203870904,-0.0006103237980684735,0.00026367591450589505,9.731760593366586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_82_2017,106115,0.20947048375129768,-0.3659424156364639,0.14162918235138172,-0.2388707764251487,0.07465245549833317,-0.028196106846845696,-0.012779084994402175,0.05839758123052459,0.007201395660957561,-0.15645776327759803,-0.04070916526439275,-0.022042709114506027,-0.0019637232234962507,0.01923739787657447,0.007197807764719901,-0.014792175167653498,0.003003514178540586,-0.0040270302749141704,-0.0010961288099649764,-0.02620581094939348,0.0012731620573658796,-0.007257250874692424,-0.0015867939929660798,-0.007066249887921785,-0.01252600592967198,-0.017229379644364735,0.018492123804105004,0.007031633419849811,-0.008698871043290958,0.008391531850305526,-0.023456012291471495,-0.005640973392917306,0.003918249937034912,-0.0002103914184563833,-0.007700189593091804,-0.008789569270622346,0.0009040146398737506,-0.009121778278782841,0.00047052293421909577,0.001554786027759426,-0.0017510997740993015,0.0030770582010928023,-0.0046737047933997095,0.0052704374290021595,0.006795605789182947,0.0026419331359255737,0.008558214327381805,0.00203139174602928,-9.199177158811888e-06,-0.0014010625481404673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Dlab_13_2017,106117,0.21908013610995355,-0.3680361673641377,0.0931586668440073,-0.22604999784039093,0.05758692699787994,-0.02588980190497101,-0.03848497457748314,0.06120877728634917,0.004937715192563795,-0.16196622571414213,-0.021702439983607064,-0.008822700468682193,0.0096683902128226,0.023010266334272087,0.0032589978706792566,-0.007856805031880553,-0.0014660616875712515,0.003794122181836342,0.005162041477724262,0.008148169482885244,0.0050907832803003955,-0.012821517705043285,0.006506155819748049,0.0026284433651066145,0.006241482981567802,-0.003185289453097768,-0.016850816252445854,0.023407537204182295,0.008574316039610277,0.029387985952860244,-0.005799561305344865,-0.012351218360865576,0.0013578225352336064,0.0041065841773284695,0.024337256717772066,0.003658703524187305,0.018060484695669163,0.008354253802162552,0.003938098369914199,-0.009408961379475179,-0.010650889648233009,-0.0063207442620565706,0.007462579198057665,-0.0027146991249253983,-0.004543424499932377,0.0001508240671067021,-0.004659824875641189,-0.0005942307911744858,-4.1419118020175316e-05,0.00013844721832956326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Dlab_23_2017,106119,0.20548631250311253,-0.314332997891836,0.17763246889886503,-0.16969930242286557,0.1029354508207424,0.005498678139052875,0.09715893945770804,-0.06769196958093916,0.028214256536801898,0.14883265945063978,0.02621115595226771,-0.07235873500452286,-0.17329710007004226,-0.0503953105603588,-0.042080105096240876,-0.025048668133281868,0.006288855317103735,0.003214408115321873,0.06309070720075631,0.041941640878421026,-0.004310679211889328,-0.032668249373628305,0.028685934983648933,0.0010770440798933596,-0.006477926114676826,-0.019205199855556864,-0.005535141034145998,0.008192658014355366,0.003908610916961585,0.011896519764820578,0.007256851174677045,0.0032158508106136354,-0.006976943857986772,-0.006187467307044446,0.0060595406073974895,0.0015991874089833179,-0.011472280331565398,0.01375775349193298,-0.0018676419058824207,-0.009271935811766642,0.0063094431184397715,0.006220974091095305,0.00212729092246555,-0.0030899842901289214,0.002710460808914505,-0.0033980171937658347,-0.004269398667366376,0.0005750827416845899,-7.566716351118602e-05,-0.0005811896984302919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_16_2017,106123,0.285497996925672,0.39105794420930573,0.1750676288983272,-0.031568352773697954,-0.0030071876723168863,0.027233365361289497,0.0016980161460453415,0.015472302184080671,-0.009228815321367394,0.01010171285701134,-0.03299304308505114,0.004329652375261212,0.003030848195652041,0.014476472657250092,0.003241814067445086,0.0040154537601842346,0.005365678732630059,-0.011791571332987381,0.033595674984038065,0.004458893291172561,0.02315971400811122,0.04137061327965418,-0.007567988715955214,-0.015470220408761264,0.010631581490183386,-0.007010401672196588,-0.00398326827993318,-0.020164463390509528,-0.0022763366502231708,-0.022563545569006006,-0.009390029909199635,-0.0017495333195946918,-0.014831276179857845,0.021030561015964847,0.008734211266036108,-0.005746555773521745,0.01129778968642647,0.004201097910968966,0.005281328722825672,-0.01086240105292276,-0.013929175118804324,-0.0038485635332144693,-0.004756372476862732,-0.0018497169402124597,-0.0006880177934918898,0.0019786351826207127,0.00024523809796862746,-1.4463391528618622e-05,0.000147926116851392,-0.0007512076939694123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofra_17_2017,106124,0.25293232873011745,0.3797683951796762,0.159363984827885,-0.03683993905725085,-0.009302991252716573,0.047500518383374934,-0.02287444250353854,0.0003984910093470176,-0.003141537454019607,0.012062159290584734,0.0015056389781304583,-0.009904035798595785,0.009365493710829164,-0.014702629006324837,0.04974929671229159,0.06851341837842967,-0.013511096278004725,-0.015678188430873784,0.003460702127255538,-0.009263038250044861,-0.02680821807396245,-0.005648549719625678,0.0029571189240309536,3.5554708748605263e-06,-0.006333012510235025,-0.019540356055395027,-0.024778944766347587,-0.006394966819894248,-0.003481978962713885,-0.008163928391967668,0.00575345497051169,-0.015441774059216144,0.02013163130877261,0.01477054563436149,0.0016126703650974356,-0.01732691614884891,-0.008297474367592457,-0.0018242137907367483,0.0011308760678120332,-0.012259183635943293,0.0004806582222835603,0.0006329803619286505,-0.005048497321696765,-0.00212150740716193,0.0006465510994291515,-0.00104745578202017,-0.0006682793634848544,-5.067754790236654e-05,-6.870884280386143e-05,-2.5940169500703267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
