sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74
CH_Pstr_10_2017,106106,-0.09556036621561818,-0.017677174964505594,0.009980059096063035,-0.012015808410890795,0.006506934383671198,0.0018949165766969699,-0.0020541107999780743,0.0025271453689007756,0.0015274270339789902,-0.0016127749496419748,-0.00023932339693886787,-0.0013748946234146467,-0.0005750098267526138,0.0002746093353280892,-0.0003726265887883686,0.00016439590429533115,-0.0008013724969761539,0.00035064170258121733,0.0016228398388354584,-0.0015934952768009898,0.0003793349103213457,0.0004787692274589613,0.00014175717327001713,-0.00010525286601179114,-0.0009450606763896785,-0.001245255175606517,-0.0005516102899778246,-0.0005299533878604072,0.001459302532026939,-0.00010322367371209944,-0.0006536903691342106,-0.00011243718664588735,-0.0003706063928242553,-2.5968582106523136e-05,0.0005409481216393227,-0.0002585704905981607,2.600576983585803e-05,-0.00016524347959019135,0.0003051696706707572,9.612623171462372e-05,-0.00020901522013786348,5.0023413403242694e-05,0.00012110529461300031,-4.5461815089275274e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_16_2017,106123,-0.09548764109872199,-0.01772094993542618,0.009883328283374281,-0.011762540892452605,0.006430503563432982,0.00216425549959275,-0.0019362538495931768,0.0023937190133725486,0.0011405066671482259,-0.0016327506792552008,-0.0006669217319987162,-0.0008088125087049036,-0.00023001534975352695,0.0002430401463515952,-0.0006335836433039203,0.00015982393234603934,-0.000498951297738588,0.0007049140426753786,0.0013059971660138753,4.357682226491471e-05,0.00038178838267343877,-0.0013921067282292167,0.00040860512308001296,0.00040356349377798146,-0.00010724475265334375,-7.993208712845024e-05,-0.0007352396198177163,-0.00020632540002614726,-0.0001790770134764813,-0.00027431495098310347,0.00020471823238469618,-0.0005466017734574929,-9.872557094342157e-05,0.0010276725059101246,0.0006018521827076695,-3.2898605406881266e-05,0.00047904227083620345,-0.0001710594727222499,-3.293176898993515e-05,-0.00010582455228963352,5.5566157543848026e-05,0.0003185805959985701,-0.00010318432867793407,0.0002962813059348535,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofra_17_2017,106124,-0.08988481178654188,-0.017027517382698913,0.011762962415096475,-0.009412392075572948,0.011748027867326885,0.0006252841069423709,-0.00242809012404992,0.003326779260387908,0.004607743139589338,-0.0019101305862408058,0.00019795123139072245,0.00901298347232809,0.0018185496263475975,0.0011038970996946598,0.0010134281564200326,-0.0014708413309267427,0.0006592022218752605,0.0004496856964651643,0.0008498113220414707,0.00130336668426855,0.0007876284821932801,-0.0012000476656476903,5.059636319159106e-05,-0.0006516507487103638,0.0002497337233005791,-0.0009467128098136856,-0.002639210645923136,-0.00018477814520993872,-0.0002795172960567394,0.0006578895356638588,0.0005044800040127458,-0.00019731773310515308,0.0004433355901663167,0.00013180070191614435,1.6408157738151157e-05,1.0037965137587989e-05,-8.153292690480168e-05,-5.9092945776786636e-05,-9.366638827251156e-05,-2.592443078685859e-05,6.502665581702163e-05,-1.667475535990092e-05,-0.00014702538838613167,4.5988902409110545e-06,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_28_2017,106135,-0.09355698993726666,-0.016416880427929232,0.00849126071812442,-0.00956271700432402,0.005035662538804945,0.0025289347216122782,-0.0013120086326679973,0.0019486530618968649,0.0015973705986494424,-0.0027466787018797516,-0.0006144519944079874,-0.001555537006936052,-0.00037004409896631326,-0.00015779574720025058,-0.000932609671229844,0.000971433451962085,-0.0003375788522057584,0.0005063011753608347,-0.0020606877940022097,0.002365847253674712,0.00024148637554785492,0.0021259158561663417,-0.0005803200286313565,-0.003941792269628794,-0.0012692120170685992,-0.0005250081885560297,0.0005908263356162627,0.0007785479982961026,-0.001338808888117566,0.0005116282644578458,0.00029402988067132364,-0.0006373625841993947,-0.000281125317938247,0.00031596013067045883,-0.00012133909503743734,-9.239872929050039e-05,-0.00016527856216012041,-0.00022464505518477294,-0.00021779487333661542,-0.0001303130886939629,0.0001403781623402368,6.998495604579577e-05,-0.0001704348641063999,-2.6108555080121456e-05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Pstr_54_2017,106161,-0.09982781760223525,-0.0189960515235334,0.010473719252589494,-0.0019394938422093028,0.01493609109192214,0.001468761897578036,-0.0025955429166875095,-0.0009243073875596417,-0.004538157879719636,-0.0065642203752093835,-0.001221358542686134,-0.002908499951585382,0.00042704003299400754,-0.0012951520384763522,-0.0007748912592677498,0.0012796454368752721,0.0011197197584663307,-0.0006464307734557753,-0.0038012737008639406,0.0028619885163055827,-0.0005480164792782282,0.0008479465174526141,-0.00032105459781265434,-0.00018029088372409626,0.0011202704189812672,7.603458690596596e-05,-0.00030919828960524495,0.00021259225710139142,-0.0010909869718393303,-0.00038084267149300155,-0.00023505419694414573,-0.0007708632441564953,-0.0009904028437592064,-0.0003449401647620231,0.00044982570064844144,4.767605558239224e-05,-2.2635160409010234e-06,0.0001495984123648299,4.6777094379010094e-07,-4.445080488383813e-06,2.709866654980556e-06,7.716670824710929e-05,6.774776723827412e-05,2.1388145752001745e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Pstr_54_2018,106196,-0.10016508795464826,-0.019399215220270757,0.010691604748004267,-0.0014721881757022764,0.015466734780449277,0.0018402999024216857,-0.002757058294940884,-0.00031088749278192186,-0.0044978456908393895,-0.0054466586364152825,-0.0008154193422659703,-0.003167186873419007,0.0006763840152305125,-0.0012830716445082204,-0.00022177721068971864,0.00028701800140349553,0.001799163124362908,-0.0015771302125454933,-0.0026471328024904946,0.00022059191570117544,-0.001984362473175614,0.0012354756825973146,1.7727844836333617e-05,0.002154433800242574,-0.000708472358600609,-0.0003599618651988389,-0.0004754869540439877,-0.00027644926923984446,0.0005729922328418447,0.00048560295775015947,0.0003464355223572172,0.0007951042305227069,0.0008482711979804908,0.00011513081322701397,-0.0004558741273001001,-8.961390696658943e-05,-6.727590619853384e-05,-0.00019604459006922586,3.8990915534501216e-05,-9.536230623499739e-06,4.727614544043661e-05,-8.98311412757575e-05,-9.91874178038621e-05,-1.6412219879453713e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_10_2018,106216,-0.0945158925586405,-0.01712633194158007,0.009285465462149404,-0.010662230885083602,0.005924102765938444,0.0023754674722417154,-0.0017849741768689138,0.0023319862741657442,0.00158146708493183,-0.002070690428193526,-0.00035465209038573194,-0.001319138071572992,-0.000421477464288163,7.657842869038314e-05,-0.0005654600804329575,0.00040660499116332776,-0.000585651040733653,0.00045223877374631977,0.0004841200127987058,-0.00014242370912793622,0.0003089273889526861,5.9487207243945436e-05,0.00011405112140192086,-0.00021173056394387509,-0.0007237133736638919,-0.0010082554009801078,-0.0010054402167549805,-0.00027737918593008097,0.00055566509437984,0.00043834485413912896,-0.0003211646477090616,-0.001335071948553089,-0.0007066691280828132,-0.0007888607496562125,0.0006460481572021589,0.00016455235480512302,-0.00019794251378952706,0.0006299685493198607,5.187249551533243e-05,0.00012605138592681114,-4.1464734393581146e-05,-0.00040076233283278,0.00025299328022004896,-0.00014198085833402416,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_82_2019,106242,-0.09368007853914147,-0.01663407928304539,0.008808931012845179,-0.010132713649867304,0.005215313620383246,0.0024253814052367976,-0.0014670145157258448,0.0024234656734023487,0.001947556946347521,-0.0019187577481599928,-0.00030935163987531286,-0.0010264526139910357,-0.0003504892990147898,2.9818788063649817e-05,-0.00037134082568844346,0.00010056760887981548,-0.0001651913033959699,-6.989556232306513e-05,0.0005580088718743372,-0.0006348069811277389,-0.00028713015230632513,-0.000430753325311342,-0.0002303766786979296,0.0003899350134210323,0.0024379136545062082,0.0003428323296804286,9.052364292553101e-06,-0.00026670755495172914,-0.0010016805305892162,-0.0012339072426475334,0.0002212394679508152,0.0009068784225909135,0.00015785263712263543,-0.0005005119020704518,-0.0007877264573054302,0.0004985087368415655,-1.4972670865257523e-05,0.0006831958891058288,-0.00015326512945174653,3.558815647381179e-05,-0.00010994666451788257,-0.0002515487745062709,-4.8910072788788795e-05,2.839257391338878e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_10_2019,106244,-0.09517988671113714,-0.017509847658109964,0.009746865807535358,-0.011514556949905233,0.006287410142825668,0.002104693740337174,-0.0019470007629634454,0.0025765791973860145,0.0013949844381636691,-0.0012133280461066017,-0.00022287321017252482,-0.0013747861006971989,-0.00041537549173090914,0.00016796339312262755,-0.00033402515029579583,7.007418030419088e-05,-0.0004865199333782031,0.00014420840198404273,0.001014375902972485,-0.0012517686770216225,-9.333190461117174e-05,0.0008830690500577719,4.777687541002393e-05,-0.00017476704291611921,-0.0012683287640046057,-0.000833190561474647,0.0003961124149480731,-0.00038167174871213996,0.0019402198696436958,0.00063598945221839,-0.0003134621530905856,7.3379416503099e-05,0.0012404057569077767,-0.0008223500771476478,-0.0008147461722607741,0.00019148356175114218,3.4580388570822204e-05,-0.00017460926717136266,0.00012303652135499756,2.4754871306377217e-05,-7.178878649228059e-05,0.00012894652675477853,-0.00014872372677291777,0.00018503472139439858,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofra_17_2019,106258,-0.09452401572768415,-0.01715818389780695,0.009275202774741647,-0.010447673105240547,0.006015498065774697,0.0025159745065397483,-0.001818808093519144,0.0023427963846983854,0.0015852721274523815,-0.0015320937706843187,-0.00022376054782422255,-0.0007473848316333272,-0.00026766868666264784,0.00016612983637011,-0.00033662225507415593,2.7984327593301087e-05,-0.0005218687334653197,0.00051614510835099,0.001397309654468487,-0.0005912549480930603,0.0003471663410028729,-0.0015481972392203296,0.0004340829344142346,0.0009705622914231865,-5.465256441934541e-05,0.000754318059600882,-2.3627080786339528e-05,0.0001777003977457536,-0.00041933575614208304,0.0002333529674221533,0.0006061720026735816,1.0161000807266432e-05,0.0008351954605555964,0.0004082945507341171,-0.0006806816469101626,0.00041798921738230444,0.0003368791957190794,0.00030534768674292823,-0.0006426120485752524,-0.00025157088595011644,0.0004380978539657038,0.0001491188632406981,6.0340407185409774e-05,-0.0002197628168239019,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
