sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74
CH_Pstr_10_2017,106106,-0.10692961082057596,-0.02822918537838357,-0.018411683019771807,0.011748963061501284,-0.014331065248880788,0.0007395111465723206,0.0038137130850696183,-0.0009423151896487641,0.0005428353604593131,-0.005383969234769609,-0.0031419364401479724,-0.000268981558426822,0.0013488373473953086,0.0011965664281725949,-0.002198598872554555,5.072065791275203e-05,-0.0006087610838185729,0.002619203608460832,0.0022685760542278948,-0.0007631113361252537,-0.0022836311543790056,-0.001147632361421803,-0.002275598756577663,0.002572315904002267,0.0027355776535912804,0.0001723088583693956,-0.0027454679301585553,0.0024422567478227897,0.0005015981631555218,3.1372162322318636e-05,-0.0005238564428814716,-0.0001234920691273671,-0.00041950313456621884,0.00029793931026201616,-0.0002459363807618275,-0.0014040152773078037,0.0003181624419092069,0.00040968110035486375,-0.0003930891208784681,-0.00014610364853681704,-8.203600797491568e-06,-0.0003185365537335341,4.203737429218243e-05,-2.1498951106509746e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_16_2017,106123,-0.10679376713615693,-0.027839232714318297,-0.0197608926509291,0.012400679753832343,-0.014584173481549962,0.0006573977976929773,0.0037186686187545637,-0.0006880196235452757,0.0003157519826556044,-0.005236865784348578,-0.002208021515088174,-0.0008498579049606665,0.00175316894589864,0.0010426489561612582,-0.0012940482501475376,-6.113368890073004e-05,-0.0009582750730518902,0.002090312968998737,-0.0006387880472928033,-0.0009397134628898172,-0.0013907645635006353,0.001410979676125928,-0.0013415827962018514,0.00031986127831888146,0.0015509335001214378,-0.000631784696608418,-0.00036734209378566483,7.467018434768106e-05,-0.00023099955004204865,-0.00034598348839215594,-0.0019390622191084374,0.002209099824652098,-0.0012512738975911618,-0.0016780079657483223,0.0007773533350599715,-0.0005249305016594219,-0.00045943181249111784,-0.0005472249687305671,-3.712487271629119e-05,-0.0005912971196370285,0.0005351898859858519,0.0002867344473301438,7.135275833763211e-05,0.0001429526677746645,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofra_17_2017,106124,-0.09509382866720242,-0.032863262841770643,-0.01253621351597949,0.014918833269269117,-0.021867717071298254,-0.004716308610331556,0.0026111425847328883,-8.328424212460321e-07,-0.00010628150321234736,-0.00881524861798215,0.017655441368990926,-0.0010474004349264713,-0.0004588704921638737,-0.0011689532238155866,0.0004161486910056456,-0.0021311337545237455,-0.0011196556869329261,-0.0005453572004365536,-0.0034981688864773324,-0.0012052660720135307,-0.0015063608145202147,0.001027011672142867,-0.0006300928220156644,0.0003549494169165983,0.0024359056571878175,-0.0010127809017696466,-0.001568855451603527,0.00045727167209782084,-0.001971680523956013,0.0023361501417553977,0.0009195159706298561,-0.00016733190840815274,0.0002322006064607962,-0.0009650858777528789,0.00046862030911877284,0.0007589422587216466,-0.00011415390001395596,0.00035777304491233387,-0.0003961718662290806,-0.00030837121309639225,0.00020797700502043579,-9.995226253568726e-05,0.00011848752846508673,5.831665355891343e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_28_2017,106135,-0.10534111581985059,-0.026030799415791527,-0.020293215785528538,0.011643448790270246,-0.012646087485986217,0.0007985654298687094,0.0025462690503435604,-0.0008891617091331091,9.06652035206503e-05,-0.004171344845828719,-0.0023756133464984995,-0.0008906886667260095,0.0019530608506810666,0.001109756931016571,0.0015197539156424627,0.0021555270491264633,-0.0009487901710004443,0.00014519291133737459,-0.002917105651157127,0.00033514621654860395,0.0016808537866180367,0.0002686542716072386,0.0013845176722992484,-0.0032595460390476023,-0.005638843597274812,-0.0032610164014086913,0.00010914990757309653,0.003640998173799759,-0.00046559226797567867,0.0010533074818561436,0.000764785654140535,0.00070767207830553,9.849042021443235e-06,-0.000412758649543844,0.0003988899223639166,-0.00041574740322437636,-0.0006622931196466658,0.0009614703978372096,-0.0003413885951580412,0.0001301059992068094,3.510014371477279e-05,-0.00012374823426396182,0.00012750189014041404,-1.4872445998399985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Pstr_54_2017,106161,-0.11496211062872194,-0.042315033929819584,0.004736633713042833,0.0005862460790948456,-0.013763767164170425,0.004182275190531277,0.00502896480620985,0.0016664966772299773,0.0020185246172666847,-0.005990507384178354,-0.010187176497248998,-0.00106269598732647,-0.00018050143964301246,-0.0016466176580133532,0.006109243141415558,0.00015221153345777773,0.002138838315195725,-0.006332125840444154,-0.001337300580765186,0.000623850600050784,-0.00010046068303630781,0.0016642331426222417,-0.0006977079688214674,-0.0007175856258003084,-0.00022143026640533011,-0.0034521721147681233,-0.002095440830721041,0.001669786180530021,0.0009711457581054711,-0.0014880645735810263,-0.0019171109091539447,0.0014383505703961007,-0.00042276885560838754,-0.0007014164685624339,0.00030419431355070833,0.00022698113879324248,-0.00014706365655427073,-0.0001588534493523317,6.20061290648537e-05,-4.7115794582973866e-05,-9.67119248876297e-05,1.8218092908712584e-05,4.055529037747493e-05,-1.9499074219943472e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Pstr_54_2018,106196,-0.11645920880246137,-0.04494249571667521,0.007789867277015906,-0.0003062934434344075,-0.01451663137683585,0.004578691699460166,0.005057919468859241,0.00282965113847813,0.0020567132145140952,-0.004644157784726111,-0.010697553152241617,-0.0007149744627865152,-0.0010039621932992659,-0.002215940463345274,0.004120652274207916,-0.0005433461991992122,0.002852635918430993,-0.0052275383215968,-0.0015540585742388827,0.0020021876689978895,0.0014567850717363054,-0.0011720196908645783,0.0007191269796785368,0.00015212972719793973,0.00017423697647636936,0.0019241244819353845,0.0011062968037375749,-0.0021634728930934313,-0.0007763973235548898,0.0004885052017758813,0.0013586002570569228,-0.0013805709796395834,0.0007698786831099689,0.0006801767198699721,-0.0003023707792262161,2.360247759399938e-05,0.00013405158640136306,0.00013655561891030106,-0.00012707399204834035,-6.326995762301374e-05,6.120897716076738e-05,-1.4427797664411232e-05,2.626574780462117e-06,2.4887517337912015e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_10_2018,106216,-0.1057267424653793,-0.027588445629522857,-0.017480924099301874,0.010511124020572582,-0.012861140426632493,0.0012057949773153476,0.003486530921185545,-0.0012358511143281202,0.0005675791952829142,-0.0051079766236380095,-0.0035683658734200962,-0.00016383065364174203,0.0011098377053492762,0.0010338978007661515,-0.0008404561631685973,0.0005344402124440661,-0.0003172991985822749,0.0013170042806970926,0.0013163836309443176,-0.0003740293220692567,-0.002088891325823955,-0.00144957077725676,-0.0021438164871983387,0.0023771820115162236,0.002604155635895747,-0.0001933870803364605,-0.00317407220849713,0.003175188128471027,0.00040888917785938825,0.00044391048323188105,-0.00012212968657615108,-0.000324194689330566,0.00044269972826933846,-0.0001425082002171228,0.0002812828684911115,0.0025946926473071168,-0.0005705024982290563,-0.0003236232157027364,0.0008114420466288281,0.000996562984275389,-0.00020691182080389956,0.00014009472319034062,-0.0002821574723304052,-7.798576668331263e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_82_2019,106242,-0.10456819828265881,-0.02582395838405607,-0.019914964028053414,0.011483292241394289,-0.01265658476889079,0.0007609392569869746,0.003072767336920824,-0.0010718004132971193,0.00033835696964159515,-0.004267333933843509,-0.0021069043974583155,-0.00012470237810495257,0.0011675127537288746,0.0010343861438608984,-5.562226768123951e-05,0.001346903651492945,-0.00031377498688578165,0.000780503394670077,0.001396211862120971,0.00043095032637039353,0.0010692533995056948,-0.0015717633302770532,0.0018693187221778692,-0.0006796002171140735,-0.0017009256092790602,8.54773483423882e-05,0.0009393019380778313,-0.0021612757343319727,-0.0002850336283919361,-0.0019746331392780777,-0.0008364897738829412,-0.0018917747380800217,0.002153755224917855,0.00017937523774018662,-0.000365671627868016,0.0025581687097374186,0.0003396953930572151,-0.0003980550376220295,-5.997139494183903e-06,-3.8519475145324766e-05,-2.889941098462572e-05,-0.00020921215883558852,-0.0001543452973155676,-2.0909170937125395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pstr_10_2019,106244,-0.1069098019283888,-0.02843275614690185,-0.018332966983835623,0.011671192565435667,-0.014291971690529358,0.0008778613390884285,0.003919538782280152,-0.0009174477158505965,0.0005241017076384639,-0.00495571574170073,-0.0029245360519892794,-0.000272599972673339,0.0012255409288956447,0.0009828584094541384,-0.0015669829232216911,0.00024116347579219578,-0.00044474406663845133,0.0020231677476347416,0.0007726295282786199,-0.00028335739083776746,-0.0014678345934024538,-0.0012935967490281738,-0.0018603638983485803,0.0017633109580561558,0.0017282496332406943,0.0010545445849372403,-0.0013897837921531052,0.0007146203926757808,-0.0009854813184321113,0.0022681267466664614,0.002431100850828829,-0.001522905062269076,0.0005698190294052949,0.0020061853643718814,-0.0010633234408694815,-0.0020739803180945798,0.0008649302828844011,-0.0005940623459430332,0.0002092676830469331,-0.0001462759017234267,-0.00041256182131845285,0.0001825954213553534,-0.00013816630681816737,-8.059034542186696e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofra_17_2019,106258,-0.10661297924367183,-0.028135350970691843,-0.01901444077891139,0.011926290261582644,-0.01426861334416157,0.0007811780618334382,0.003702793826234735,-0.0009040749367456804,0.0004140047560803395,-0.0047918925493253845,-0.0022044527816895117,-0.0004922374535506495,0.0011541917685104447,0.000661631708268874,-0.0010396581919551984,-0.0004238114008936164,-0.0004003324987224277,0.0012741886765181953,-0.000873580404703964,-0.0002454566946206577,-0.0002562189415137242,0.0010040597875702315,-0.0004694914197202075,-0.00025870351595688414,4.602238777215714e-05,0.0010490384010447228,0.0019374042517746018,-0.003122811504400234,-0.0013841899860771712,0.0014890653417879004,0.00180265401977023,0.0001442895954857743,0.00023796457076044738,-0.00020322970877759017,0.000178748194441783,0.0011031997593740042,-8.606461023343523e-05,0.00022451975963537176,-0.00036536552343650414,-0.0006576799936676536,0.00044676832039789723,7.69461721028023e-05,0.0004714934995082848,0.000102580281042476,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_28_2019,106266,-0.1053765260960869,-0.025937807885328363,-0.019354069641264873,0.010722773614979118,-0.013019710064815376,0.0005493153435452936,0.0020971060968458443,0.001727463612444709,0.00019661530549422955,-0.0034620629631244215,-0.0010143493819936825,-0.001227027446688774,0.0025533246167724457,0.0010881514229538344,0.004689032596673628,0.004263867990377805,-0.0008670119709188388,-0.001226799033658837,0.0007688693837012101,0.0005804868018012484,0.004194854023844402,0.0019780399810639332,0.0035561620393163283,-0.0029193160951678124,-0.002645898835861536,-0.0018243962245707524,0.0008893749805621758,-0.0006613742371446541,-0.002483905348534378,0.001840138865185696,0.0005584321896246184,0.0004314480478573884,4.859537591043681e-05,0.0003514335796407805,-0.00027374494787475804,-0.0007063578811274272,0.00019502433581300422,-0.0004722615107916278,0.0003770121020348468,0.00024728718966213973,-0.00011338015872639203,3.9509929298909394e-05,-0.0001451147501315259,-3.138249022977351e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ofav_18_2017,106125,-0.10684953932803773,-0.028201851558438237,-0.018620373259738504,0.011587428519154026,-0.013734055502276975,0.0010208955165372884,0.004144839123076884,-0.000704086160839396,0.00019387411519035952,-0.00217742428489378,-0.002065118918302029,-0.0002689728448661556,0.0002160540976528412,-4.650466427409279e-05,-0.00325215669872299,-0.002682189617538409,0.00021812224682758746,0.002223578875913308,0.0010577808111287067,-0.0002880385205790467,-0.0006246300277544548,0.0015530176759706344,-0.001680151747143893,0.0013518736779484838,0.0019556839451515392,0.003054272137154029,0.002305441762725278,-0.005569709710160978,0.0005727672510174254,-0.0009288289828816052,-2.3764373550438965e-05,0.0014410328362173374,-0.0016697605857235072,-0.0011728935683885857,0.000749316276424057,-0.00045171735689549127,-0.0005236120900008051,0.0008372096582153019,0.00010397049024181545,0.0007743741523730351,-0.00040236219216550017,-0.00016121009176779953,-0.0001794146645074811,-0.00016232280970680845,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Mcav_19_2017,106126,-0.09337389568779642,-0.030571976289245507,-0.0128323715987337,0.013796792185164566,-0.019490761553340494,-0.004182016982518307,0.0031388360620151195,0.00019567970800793167,-0.0004302639561677538,-0.00540067890554692,0.018039599886569623,-0.0009404813463540937,-0.0012292955942176719,-0.0018226647951223233,0.00039844824442972703,-0.003015002615762489,-0.0005439158962957536,-0.001185776874469828,-0.0047716753336313035,-0.0004468334181537449,0.0005702468871938926,0.00245720663871802,0.0005479978746897866,-0.0014321665668329936,-0.0015274444220137104,0.0011227192782330459,0.002734567450819148,-0.0010663810182064237,0.0020773542523481003,-0.0015940459749142948,-0.0013762192223419332,0.00041557990740411573,-0.00035921043488864056,0.0008884629032837963,-0.000476813677025078,-0.0006274850591364142,0.0002773014877645384,-0.000589566856719966,0.00043111621451109573,0.00024153765397114742,-0.00024517196699616833,0.00012120439147615144,-0.00015665313625625517,-5.174895420635873e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ssid_51_2017,106157,-0.10474294374235839,-0.025766013134692723,-0.020130168858197718,0.011766917635076554,-0.012891700674959046,0.0005849105013120247,0.0030991426013636044,-0.0010701417136421306,0.00036080544550881464,-0.003949104988528836,-0.0019335476464226095,0.0001656546309651219,0.0010021820545595536,0.0011457297974000785,-0.0012748405035340894,0.001166254505052672,-0.0002701861559410996,0.0017782577887118607,0.0032311427144027967,0.0004541344582511181,0.0008988230306248279,-0.0022550607666249342,0.0009583435126121874,0.00041630919921548885,-0.001993432800820608,0.0005983628262501857,-0.00013086160111537172,0.0004238500352423939,0.002486605606041256,-0.0036480186799636868,-0.0025039743682921745,-0.0011250492927536184,0.00042054384886452864,0.0004266926851586331,-0.0004973716592137102,-0.0011722881526526879,0.0005827273011622601,0.00012050112591523554,-0.0003812954753470211,-0.0004572274071205031,0.00012980923702647125,-3.041960799234454e-06,0.0001358008613415858,6.836416592932963e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Ofra_40_2017,106147,-0.09560808899210654,-0.017952889588658715,-0.012346705164135309,0.000724925474505261,0.002402394666544658,0.004560403044266413,0.0032686553343520292,-0.0015249457175465486,-0.0013451201032561623,0.0067907975564018485,-0.0026179934205484887,-0.00038522979417529135,-0.0015815072945220027,-0.0012387072675733282,0.0014444140694410597,-0.002690578595749248,0.0002431128695634991,-0.002102689787768744,-0.0011092965804062086,-0.0008235894641531517,0.0003125777675832889,0.004324575824042595,0.0027663543626648022,0.00011355662196131697,0.0023626487050018323,0.0027224639809058544,0.004500595720810492,0.004457152178936609,0.0029460277772372836,-3.576206579675765e-05,0.0019918636698583766,9.326493366825204e-05,-0.0015208031480627069,0.0010898251297134865,-0.00022871310325795909,0.00048603414457208525,2.5590269570246148e-05,-0.00012391353870132627,0.0001105356313016384,9.75841722795356e-05,0.0002032018486005395,5.692265791762718e-05,7.793006221002219e-05,1.2212270443322354e-06,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Cnat_31_2017,106137,-0.09487544318220822,-0.011516430584795916,-0.015912106117977727,0.0006132569153704706,0.006653956940343271,0.006351094663330173,0.007526018839374569,0.00299031818295153,-0.003492858447451273,0.018607392483659866,0.00013543100500509672,-0.0021439522944823788,-0.0008175651555825253,-0.0019803094135709353,-0.00014886451164077637,-0.002581562363480248,-0.00019270799126225614,-0.0003241424184605758,-0.005651593702778048,0.00018061768461697292,0.0017125220475393906,0.003167594021966716,-0.0018306003027280038,-0.0015234405493146262,-0.00024375286441528902,0.001114481599850772,-0.0006895100506819465,0.0010416049988360777,-0.0002248890801519998,-0.0016281801057606586,-6.243067352328701e-05,-0.0015562453933110152,0.0022680812269890113,-0.0007349919548486179,0.00012852025205077486,-0.0002311876780325259,-0.0001462343255230913,9.308396159122409e-05,0.00018708061103513848,0.0001661803788212055,-0.0001313526635489479,3.273991120126568e-05,-0.00025712832167226307,2.3334947014099752e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
