sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
C3/C3a-C3b,65042,0.023171508932902544,0.005769041634639014,-0.0048585543609434,-0.0005843931735541562,-0.002227462233230981,-0.011724218630738468,0.0043907181698435655,0.002158922946789634,0.0003389945703497594,-0.00018733086871309572,-0.0007816271443557986,0.0018759123615282815,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C1c-C1al,65049,-0.012334153063635694,0.007675519117121848,0.00894057964614894,0.017743959618893763,0.024799476294638762,0.0015184618819826013,0.0002353216076995783,0.0008384043546655168,-0.007336102451508714,0.00022499240798604277,6.729197347376459e-05,2.6641677693664766e-06,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C1w,65050,-0.01737147635316927,0.007744062087342492,0.010582206223449997,0.018234316702837677,0.025742419369881323,0.0013569324439766904,-8.360044391071176e-05,-0.001027671695703784,0.007712750873438971,-0.00018481260121890628,-4.4275255265835385e-05,1.4052638486074552e-06,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s,64727,0.021732502523010927,0.004833731623694557,-0.004650749148915133,-0.001027120050512694,-0.0023388921603112564,-0.0029699947385961635,-0.009534549074762878,0.0012502176085311821,0.00017489783714957273,-0.00010943157945755934,-0.0005131812926313191,-3.891737407976126e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3a-C16a,65057,0.023927727167189237,0.006151236649632822,-0.0048973638445633915,-0.0004655708755077389,-0.0021538518272574227,-0.01222946002533793,0.0032604290214098683,-0.007456501767496815,-0.0007480834709031556,0.0002887422735119606,-0.0008399225814191412,0.0009261466669707205,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3b,64453,0.016873890262216782,0.002335555927972281,-0.004568297506268661,-0.002246832319354351,-0.003399076409948175,0.005033745208750023,0.0017547912761475511,0.0014541935221828828,0.0006263336587082015,-0.0004589517562250104,-0.0008960617799220205,-0.0002532931432108334,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,64597,0.016874893957152415,0.0023345185443020187,-0.004568802405057542,-0.002247854959328896,-0.0033999813964744885,0.005037695898082425,0.001759469880793183,0.0014520278545743196,0.0006260053242509283,-0.0004587374329242726,-0.0009014698717903285,-0.00028094825761883815,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd,64728,0.02502377279502383,0.006523673405877334,-0.004703775419893,-0.00019822358447853743,-0.0016178053133572544,-0.008394478477339281,-0.01719551099141426,0.0011040344016110658,-0.0001316109600839684,0.00012741950770306303,-0.0002468040206826145,0.00011262192706989864,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3a,64730,0.028514319180951993,0.008661147426214055,-0.005078835749529239,0.0008365307020265294,-0.0011903820456327097,-0.025600309871706053,0.006340339184447053,0.004530795484632587,0.00031674090767008745,-6.552360008032795e-05,0.00041743788793358126,-0.0013738814958659095,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3fe-C3-C3fg-C3b-C3ag-C21,64732,0.01933820979989941,0.0035468103120734978,-0.004540156960703583,-0.0016046267350137036,-0.0027652466984175845,0.0015609991036469536,0.00014518965737769725,0.0005362321021592282,0.0005042257264196857,-0.00043108019242532467,0.005221779527619397,0.0004620513277842046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C7,64733,0.03309190415994762,-0.012276236861953008,-0.0009812828953547966,-0.0018693501223698218,-0.0024470482592942357,0.004815052776762574,0.0013627655541332327,0.0009552283796108859,0.0003796981603180887,-0.00047579247000619884,-0.0005950050982826529,-0.0001501665263247857,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C54a-C54b-C3-C54d-C54c,64729,0.06079876114870667,0.06468093816321827,-0.024333757295611158,-0.004883210903593513,-0.0036354032768298344,0.01386726663844052,0.0018284203075334658,0.0004015444051094504,6.208279659033908e-05,-2.7924863748449167e-05,-0.00012634550870325564,1.688122077267181e-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
