sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
C3/C3a-C3b,65042,0.37241293332453423,-0.07424812817936864,0.01803722815735873,0.0025549680715813393,1.37971109569847e-16,0.0,-0.025537346940289505,0.0006336724716521228,-0.017792200652694077,-0.06705004670113739,0.10305192349266731,-0.08790166811146655,-0.039086309162967424,0.06595314493090082,-0.005841925385759036,0.014648586821577835,0.0014987951126502986,0.00142652371822037,0.0,0.0,0.0,0.0,0.0
C1/C3/C1c-C1al,65049,-0.11301448086954088,0.4819344883690666,-0.22201105239123525,-0.10844562395704609,-6.864008929849372e-18,-2.1453818764582985e-16,-0.011878033933164547,-0.008522369410070051,0.0060363700924614665,-0.029890300434905096,-0.0022160824137416094,0.008001657963630313,-0.10065182988218511,-0.06145178377880578,-0.005985470664298788,0.025686146644433173,0.000599744559821818,0.004443908330676735,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C1w,65050,-0.3080948291203898,0.5317246405171379,-0.21860224272881643,-0.11073557124941243,7.252011457186932e-16,-1.9439324375820264e-17,-0.10276263636660092,0.05079671612705958,-0.008092031741379173,-0.04283968966208386,0.023576164784302467,0.05768843311012833,-0.12156659736201665,0.03815498745305582,0.0054098724224174366,-0.016594213062937076,-0.00018278335533039182,-0.0030887021532572294,0.0,0.0,0.0,0.0,0.0
C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s,64727,0.33372394004600126,-0.05764592465504506,0.02124537381654352,-0.0061221384183531655,-4.7253119251337687e-17,-7.925589007020461e-18,0.03416380257608786,-0.10261015712281182,0.006446485031701028,0.08749118392922745,0.14055383857676237,0.1821078313054654,0.020643112862414784,-0.02505241882195396,0.05699086715929746,-0.0056027027777461325,-0.0017865048108526044,-0.0011396013800514756,0.0,0.0,0.0,0.0,0.0
C45a,64799,-0.3191565344124617,-0.02122454828688001,0.3532396981568032,-0.16410085468919303,-0.5293803845034852,0.23041211304155723,-0.1508335097670758,-0.010773062821454236,-0.009915936053195651,0.01179808633877652,0.004083435432254978,-0.003975843724592668,0.02719317628504444,-0.0032260589279068668,-0.0008208221002548547,0.001780601793232283,0.00015875523086855285,0.0006064575421384827,0.0,0.0,0.0,0.0,0.0
C3-C3a-C16a,65057,0.37304511259593426,-0.07746444411611192,0.011465156477161715,0.011041302553845654,5.283019948839865e-16,-6.036394980958943e-17,-0.07658719095405093,0.09909576504730817,-0.03166648285668452,-0.08905417229355586,-0.07608717089396883,-0.03137467773025173,-0.015323828764130574,-0.007732153258905993,-0.002395154569123634,-0.010939113365006555,-0.01581189836462086,-0.0025696030285563055,0.0,0.0,0.0,0.0,0.0
C3/C3b,64453,0.3757060895032058,-0.07548488813099265,0.01866594905592759,0.002941172730093358,5.313332685959746e-17,-1.0969292481741876e-16,-0.030105876860325956,0.008086872772861483,-0.023709507862071183,-0.11233083173052967,-0.0717637935715547,0.041689904414082934,-0.0023805862532053526,0.05367508576914402,0.031323562237636875,0.02516880163261946,0.002411285630881502,0.0040503171060325485,0.0,0.0,0.0,0.0,0.0
C3,64597,0.36748454837886774,-0.07573186736264996,0.010972620435798172,0.0107039555655779,4.3900134366030463e-16,2.842598998843912e-17,-0.07387650700160399,0.09608339069707307,-0.030325502677517838,-0.0881927459969835,-0.11817523608286216,0.016062985177451257,0.0019435087777643265,-0.028692792121229712,-0.00235547478855866,-0.008336687730704707,0.03355624921035672,-0.0028797045587521442,0.0,0.0,0.0,0.0,0.0
C7/C12c-C7d-C12b-C12e,64726,-0.4866176224712275,-0.40271771510309023,-0.276157538735288,0.014898886197965722,3.178255384859141e-16,1.8291163968964348e-16,0.0076984380990496384,-0.02385179471420592,-0.21233817467489044,0.006590094953204603,0.0014650974186351,0.0005470037011524662,0.010738859333263111,-0.008059044146719468,-0.0034942381331774875,0.03922202033310458,-0.0036927840401271422,-0.005591652514394303,0.0,0.0,0.0,0.0,0.0
C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd,64728,0.35741070932817465,-0.06781148345511381,0.019403729597812454,-0.002627924049933686,5.467822435078385e-17,1.70380250073468e-16,0.011227918748743336,-0.0684969742021684,-0.001691389113041464,0.046452728493828796,0.08991724449344239,0.16056826919954184,0.004955119296042422,0.011087546867090686,-0.07383329865201106,-0.002440851600986701,7.720736470555968e-05,0.000275477670948214,0.0,0.0,0.0,0.0,0.0
