sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
C3/C3a-C3b,65042,0.02352342437546043,0.005431514801795019,-0.004365996364432317,-0.0004104625437807803,0.001165984037635622,-0.012069015738644195,-0.0017574892895419864,-0.00048357551686692895,-4.432661794707495e-05,0.0002944333743824226,-0.00027584264122373095,0.000595313332475368,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C1c-C1al,65049,-0.012771707531655668,0.00512809032112431,0.005442246287080702,-0.00291467438706733,-0.021633668995878458,0.0015700856282695541,-0.001308029299999298,0.0056441092841687975,2.1103615830678198e-05,-3.89301808084014e-05,1.2473981946499727e-05,7.421969805751262e-07,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C1w,65050,-0.019674925444441646,0.004746910968414165,0.00670726603632479,-0.0028680366688796544,-0.020796513027789544,0.0015816341928535788,0.0014813973936699883,-0.006145904752203296,-1.0165362422070348e-05,1.6213890360300667e-05,-5.274851668702668e-06,-1.2836737408357143e-07,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s,64727,0.020643829171381446,0.0039855075038434514,-0.004193350663575765,-8.735811593123615e-05,0.0020937820777718625,-0.0007063370439091486,0.00523442017911234,0.0007746826928930594,-2.1879254591606783e-06,0.0003918019626550958,-0.00024704747239077637,-3.533514998595726e-05,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C3a-C16a,65057,0.020067977634754965,0.0037775624694563357,-0.004228348316393319,-7.125607992017123e-05,0.002220867194016555,-0.002013295117410496,-0.0012799386830989626,-0.0007248866911940193,-0.0001973840044395126,-0.0020786839827496018,-0.0004551905138294294,0.0007896224581089045,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3/C3b,64453,0.017915295776905177,0.0027763586068550927,-0.0041639686320762825,0.00012326696491218894,0.002844106038057204,0.003109150980804187,-0.0015468869501885215,-0.000870381625451475,-0.00013999299576324405,0.0008757035144970738,-0.0004738394310715699,-0.00010180567194574261,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3,64597,0.017915812218952772,0.0027759128373699956,-0.004164224357111095,0.0001234476073356697,0.002844626122344167,0.0031109513939255994,-0.0015497517545087294,-0.0008710253311468053,-0.00014000825761774973,0.0008732636552863818,-0.0004769513929308396,-0.00011530609957830166,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd,64728,0.022628136288782488,0.004862975731567478,-0.004212640873450503,-0.00024103002094550235,0.001546069230934962,-0.0034772629246264458,0.010181084018682954,0.0019738159288537416,9.722632252317979e-05,1.8296050394683234e-05,-7.950211661335199e-05,5.2197879634064835e-05,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3a,64730,0.028848013846066892,0.00795095955275978,-0.0045559046576139715,-0.0009169235492278215,-0.0004349339401016833,-0.026468428583638473,-0.001937080389239711,-9.767660257571485e-05,6.741602410985831e-05,0.00030500881444210545,0.00010667911942791668,-0.00041105700209696886,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3fe-C3-C3fg-C3b-C3ag-C21,64732,0.019166829866402408,0.0033196604298978043,-0.004157129565939762,2.8202608847303434e-05,0.0024437720334991656,0.0014465050867722789,-0.0005180689274847414,-0.0006111621737223692,-0.00016700328645398896,0.0003985792605937479,0.0026076623281822277,0.00017731051871058088,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
