sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106242	CH_Pstr_82_2019	20083	13993	222	13993	222	0	0	0	0	13851	36	0	2312	55	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30011200	64.71675200	2019.07.27	9.1
106244	CH_Pstr_10_2019	24061	10125	176	10125	176	0	0	0	0	9937	28	0	1877	0	0	0	0	6	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30011200	64.71675200	2019.07.27	8.3
106106	CH_Pstr_10_2017	23073	16029	249	16029	249	0	0	0	0	15766	26	0	3241	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30011200	64.71675200	2017.07.30	8.3
106108	CH_Cnat_12_2017	51994	36882	716	36558	711	0	0	324	5	35058	22	0	2041	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2017.07.30	8.9
106197	ET_Cnat_33_2018	26061	17958	309	17877	302	0	0	81	7	16800	21	0	1447	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2018.08.15	7.7
106235	ET_Ofra_59_2019	89905	67045	873	66942	871	0	0	103	2	64780	44	4	5070	129	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	franksi	18.30018900	64.71677400	2018.08.13	8.0
106131	ET_Cnat_35_2017	47290	32810	512	32614	502	0	0	196	10	30763	23	0	3008	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2017.07.31	7.9
106154	ET_Cnat_60_2017	63234	45294	692	44914	674	0	0	380	18	41538	24	0	4263	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2017.08.02	8.0
106254	CH_Cnat_12_2019	19616	12297	226	12170	219	0	0	127	7	11587	23	0	858	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2019.07.27	8.9
106200	ET_Cnat_60_2018	36639	24508	397	24350	386	0	0	158	11	22735	29	0	2230	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2018.08.13	8.0
