sample,analysis_type_uid,PC1,PC2,PC3,PC4
A3,64269,0.8055974972733421,0.0015233129006237084,0.0,-0.0
A4-A4ab-A4aa,64326,-0.4341965905615509,0.0011530187977593393,0.0,-0.0
A4,64226,-0.43222524940772916,0.0011434024530297179,-0.0,-0.0
A13,64251,0.06082434269593768,-0.0038197341513977316,0.0,-0.0
proportion_explained,0,0.9999809857126939,1.9014287305995775e-05,0.0,0.0
