sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D1/D4-D4c-D1c,64849,0.057953507565346056,-0.017652777991721515,-0.037245698235483085,0.0,0.0
D1-D4-D4c-D17d-D1r-D17e,64983,-0.02725680097592222,0.039516703277027575,-0.027099382302698125,0.0,0.0
D1-D4-D4c-D1c-D2-D1k,64857,0.057780371467423014,-0.06391979768950205,0.018494455180315783,0.0,0.0
D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k,64991,-0.16433421599097767,-0.010838070636245546,0.013018109382269329,0.0,0.0
D1-D4-D4c-D6-D2-D4f,64993,0.07585713793413093,0.05289394304044142,0.03283251597559624,0.0,0.0
proportion_explained,0,0.7615767539914879,0.16811769047440062,0.07030555553411143,0.0,0.0
