sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D1/D4-D4c-D1c,64849,0.25946032321623536,-0.015961687914031377,-0.0,0.0,0.0
D1-D4-D4c-D17d-D1r-D17e,64983,-0.25467959766043385,-0.037621958549515784,-0.0,0.0,0.0
D1-D4-D4c-D1c-D2-D1k,64857,0.29480092139090813,-0.0607765068871767,0.0,0.0,0.0
D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k,64991,-0.6808079847013528,0.029302492509907928,0.0,0.0,0.0
D1-D4-D4c-D6-D2-D4f,64993,0.3812263377546432,0.08505766084081527,0.0,0.0,0.0
proportion_explained,0,0.9840055354297729,0.015994464570227098,0.0,0.0,0.0
