sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D1/D4-D4c-D1c,64849,0.10507070249793225,0.10848256403448989,0.06278446334084672,0.01870737352406586,-0.0
D1-D4-D4c-D17d-D1r-D17e,64983,-0.07938620129111902,-0.05779317219935657,0.07132843202780684,-0.02895383182714295,-0.0
D1-D4-D4c-D1c-D2-D1k,64857,0.12162102593001281,0.06160711890833937,-0.07669756669291647,-0.02380235460157345,-0.0
D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k,64991,-0.30962773214985123,0.011125805868291101,-0.03753259339277977,0.014612022715089797,-0.0
D1-D4-D4c-D6-D2-D4f,64993,0.16232220501302524,-0.12342231661176381,-0.019882735282957167,0.019436790189561088,-0.0
proportion_explained,0,0.7432372240854002,0.16497346824845205,0.08049210615075114,0.011297201515396572,0.0
