sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CH_Mcav_06_2017,106113,0.20834113280889158,-0.027133145699187608,-0.0007095231099389113,0.0012560026773818713,0.0010016544646755726,0.0,-0.0,-0.0,0.0
CH_Pfur_15_2017,106122,0.2110049689441473,-0.028269457021134897,-0.0031084811748572625,0.00045821942752554215,-0.0007018738435880844,-0.0,-0.0,-0.0,0.0
ET_Pfur_43_2017,106150,0.22029807819081787,-0.0322456174563373,0.003151438399237691,0.0008908617289499934,-0.00017535695665302586,0.0,-0.0,0.0,0.0
ET_Pfur_74_2017,106181,0.2155586842778096,-0.030223977906627293,0.0017312572961552279,-0.0015284102541560127,0.00035144838699605,-0.0,-0.0,-0.0,0.0
ET_Pfur_30_2019,106238,0.20960204957715783,-0.027683307810328572,0.0010950079254325095,-7.521507156477767e-05,-0.0007746666378907454,0.0,-0.0,0.0,0.0
ET_Pfur_30_2017,106138,0.21115367371599092,-0.028336603925405296,-0.0022439673120439843,-0.0009967483575586717,0.00030235073663617497,0.0,-0.0,0.0,0.0
WP_Ofav_64_2017,106169,-0.6126432903227771,-0.04077962191995775,1.3469978248676039e-05,-7.447157717290384e-07,-5.651003664206347e-07,-0.0,-0.0,-0.0,0.0
WP_Oann_24_2017,106120,-0.6126432903227771,-0.04077962191995777,1.3469978248912346e-05,-7.447157715223184e-07,-5.65100366415368e-07,0.0,-0.0,-0.0,0.0
WP_Oann_67_2017,106172,-0.05067200686926071,0.2554513536589357,5.7328019517097754e-05,-3.220719021347334e-06,-2.4259494034811982e-06,0.0,-0.0,-0.0,0.0
proportion_explained,0,0.93292055516433,0.0670452198934083,2.6706328405949632e-05,5.386571108954383e-06,2.132042746734105e-06,0.0,0.0,0.0,0.0
