sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CH_Mcav_06_2017,106113,-0.20689831459364091,-0.02801806406085058,0.007831311767442119,0.007903342611358027,0.0003543198553215324,0.0,0.0,0.0,0.0
CH_Pfur_15_2017,106122,-0.2126833252201291,-0.030669490173527398,0.00912308915613601,-0.0026912659656465675,-0.005855688040468989,0.0,0.0,0.0,0.0
ET_Pfur_43_2017,106150,-0.23935081390428958,-0.042723249448361006,-0.016941279880787537,0.0012667003961263103,-0.0020048651361698464,-0.0,0.0,0.0,0.0
ET_Pfur_74_2017,106181,-0.2322220739058421,-0.03959288108057322,-0.011937955798485542,-0.001462202753291799,0.0025499216469549776,0.0,0.0,0.0,0.0
ET_Pfur_30_2019,106238,-0.20932830722808282,-0.02928505735851177,0.0006036931968434733,-0.0024490026619234614,0.0013549277815138032,-0.0,0.0,0.0,0.0
ET_Pfur_30_2017,106138,-0.21460253461487958,-0.03150923658916561,0.012833287294715306,-0.002487204595759487,0.0036078557877548107,-0.0,0.0,0.0,0.0
WP_Ofav_64_2017,106169,0.6264813783733335,-0.05064893074052565,-0.00025886666072132716,-1.327391074978718e-05,-1.3601679790718552e-06,0.0,0.0,0.0,0.0
WP_Oann_24_2017,106120,0.6264813783733335,-0.05064893074052565,-0.00025886666072132716,-1.327391074978718e-05,-1.3601679790684213e-06,-0.0,0.0,0.0,0.0
WP_Oann_67_2017,106172,0.062122612720196785,0.3030958401920408,-0.0009944124144210323,-5.381920938183856e-05,-3.751558961677162e-06,-0.0,0.0,0.0,0.0
proportion_explained,0,0.9113523505887867,0.08789884376550632,0.000625856579483286,7.24005962669827e-05,5.0548469956790203e-05,0.0,0.0,0.0,0.0
