sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121
CH_Ssid_46_2017,106105,0.3257437255103231,-0.19236795551007355,0.08621283938753796,0.1104810756801231,-0.013231362467537778,0.005416341007257831,-0.014087581793179585,-0.00041652241548863954,0.0010621544852156312,-0.002708419933081836,-0.007177308403977055,0.00010109538121603706,0.002576603177562248,-0.0029759873021871115,0.006941464941866576,-0.007558058619639255,0.0026156784925655575,0.0032941873314455343,-0.0041248829012685345,0.011344860581676518,-0.004917804902050219,-0.008105928011893757,0.0008268602589463555,0.0012690983169004243,0.001958654831014348,0.0040413924937257335,0.0011656016038185922,0.006119679229814856,-0.002722890328774601,-0.004811345341052481,0.00893952469395558,0.003121841096390166,-0.006073041194955103,0.0025768561935541464,-0.0014783687961665922,-0.0016072788775293044,0.006664112949655642,-0.00519342329886824,-0.004862873202917029,-0.0037723756971267835,0.0007728320147149015,-0.0039938763574194885,0.003462169607125972,0.00038984740416471116,0.004963405062323124,0.0002133998216425111,0.005059105489809796,0.006312451632266615,0.006331019633853379,-0.0037821242269217427,0.003065672812543764,-0.006255720391080676,-0.0022049147628075204,0.0005846526611916525,0.0001940205580829152,0.002377879287739471,-0.003248667459765947,0.005423487219233516,-0.0032719909443504297,0.001982882842162496,0.00017871789454017832,-0.0008156579113675175,-0.00189811811895973,0.002299176475802888,-0.003952452966778439,0.005393511874493816,-0.0004781950887184006,0.00035284865664949255,0.0026535434754650354,0.00011292249606056714,-0.0002753255394106603,0.00016333168219407536,-0.0001653856654918956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ofra_81_2017,106107,-0.6253893361944937,-0.09912777836937928,-0.039943564499458864,0.009361996115492792,0.00650715291556968,-0.0017918973167361824,-0.0020039281986825057,0.0120358631292915,0.11316844586915524,-0.09686145210749722,0.0006697191200538854,-0.019501715155056876,-0.06561856119426637,-0.019086494440912552,-0.04486862487664586,-0.02801252618995385,0.014156456196804026,-0.046468283254507366,0.0011112521682775517,0.032845993254275715,0.0076037864517665265,0.005508353741329437,-0.0030773198406078587,-0.013769155136594434,-0.02317690932832919,0.008631649630247984,0.0015824058820514209,0.00013808492309689486,-0.005031133952382835,0.0029772509415586863,0.009389920200861048,0.004967343251458201,0.006357303461039704,-0.009309677717911004,0.0146643103234338,-0.007732726102400209,-0.0014687101875675223,-0.0030813799993831374,0.008767617882581943,0.005275138548183408,-0.011682046492980883,0.007745281079125451,-0.000758267549059962,0.0018282217029124187,0.00651344691833798,0.0035416332422316755,-0.005977641437330796,0.0055097866596168716,0.0010372913942859332,-0.005763662306833552,-0.003307926150595735,0.0043585508237859,1.534708575034182e-05,-0.001337619969108714,0.0015749892816809617,0.004520823962444929,0.0038216283564283587,0.000902174523127778,0.0009223431889403409,-0.0017857622386420922,-0.0011184101462180576,0.0017079004557445949,-0.00032920620540010954,0.0036433129805117487,0.0007082881782263752,-0.0010250338928363795,-0.000502414553048344,0.00022805819854228586,3.7362954675761634e-05,-7.309639116664018e-05,0.00020573541282380064,-3.0559080958693474e-05,-6.11997492552482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ofav_03_2017,106110,-0.6006195592869789,-0.09303428765103662,-0.05176736805793624,0.01836034859069104,-0.01978804893788725,0.017096357565803622,0.01817051393001544,0.013708522493474986,0.07151018088981287,-0.044502360447237446,-0.0005744139861002673,-0.011273933985967497,-0.055399732411778105,-0.016877184356934288,0.011655350546031463,-0.0021290694461150225,-0.03924158471622607,0.08825979605137317,0.014365941453455908,-0.03131225973119691,-0.00866014911272064,-0.016684290289730286,0.014866435972141656,0.0147929661749707,0.005693106592097402,0.008392852821713117,0.007217316148171295,0.0033220639711117714,-0.0057498525523726855,-0.0007923371123062051,-0.006525275731522628,0.004699838584807117,-0.0003120477054681169,0.004692670779940487,0.0002765292284757267,0.007980865711708128,0.002400397896396015,0.0009553951263047627,-0.009774884528722097,-0.004990682873721931,0.00352253638983861,-0.006296238679243917,0.0012551555042467398,0.0035464510054693467,-0.001527743070237514,0.0027941742916526733,-0.0008996029147319481,0.002146497875504639,0.007431043124141817,-0.0038142689949189875,-0.009231602280472042,0.013536250792175667,-0.007476600058808516,-0.0019159653458746234,0.0022602988382333013,0.002416096788643792,0.0019161881199419336,0.000894149450102025,0.0011016563048230205,-0.002518345649308083,0.0006666231903282875,0.0005477987519878972,-0.0007849160752962814,0.0014530504261438145,-0.00023358747655909346,-0.0005136990556829841,-7.354643162799381e-05,0.00012927933648156816,-0.00017117163362484342,6.780478828399702e-06,0.00011289712011763533,-1.3494758445784178e-06,-3.778081328513063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Mcav_06_2017,106113,0.29566914376859127,0.046922862006746675,-0.1887802965161757,-0.20204313261465923,0.023264703649875765,-0.0104414921498043,-0.013694843645959166,-0.003709030092361946,-0.003363440375794155,-0.008914819439667753,-0.021613974488589746,0.030144285320772103,-0.006103030802725238,0.017528301153033318,0.01218522011178325,-0.031015296800332815,0.02386233513794552,0.008903385260635539,-0.003399447926512009,-0.0016957299180195237,0.00419247517219143,-0.006047349135893166,-0.02699935395453859,0.014740870003801407,-0.0009087331503250222,-0.004088366588293755,0.012142017498470287,-0.0005958152953528458,-0.007051008537031695,-0.012471793922948667,-0.013884325325580862,0.001884488573858882,-0.011732071182118654,-0.010147463123167822,0.004455715313212266,0.007286378908648145,0.009215785198723923,0.004702478711800404,0.023667178529081342,0.004741635285002434,0.000858653579981701,-0.013045898125366774,-0.00581630400491204,-0.006130245173830127,0.002369565811301746,-0.013665704780764724,0.008396141091317763,0.009267649725789438,-0.005785572128229802,-0.0020276896820774198,-0.005039798010148495,-0.0014813748483133782,-0.0061971018244473906,0.002207591032901512,0.002941363655237965,-0.0011800244229200388,-0.00029535407286898136,0.0009393990335756686,0.001565301002443912,0.0036426271315189904,-0.0013436588438368506,0.0005412758866490255,0.0009792648670091052,0.0013132133665388615,0.00032494575172335217,-6.731137590846873e-05,0.0002964513227168437,-5.3438793989246176e-05,-0.00016066774608766455,-9.680535126183543e-05,6.296404798351406e-06,7.306146815189152e-07,-2.392668402594879e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ssid_07_2017,106114,0.3241507974165188,-0.18719549442674613,0.081128207322261,0.10066941079420759,-0.01180161228669961,0.0017039337844123627,-0.015656872615759727,-0.0025510411684535983,-0.006426566011860834,-0.009635456752199236,-0.030254596741385947,0.00037363220058209763,-0.0011919092614413498,0.002486485066090813,0.005228065398095764,-0.006278786323124238,0.016576592139512552,-0.00025733146916466075,-0.007385775302563253,-0.011486383511600416,0.028102062572513742,-0.02983027620528343,0.04260855561924933,-0.0008924586279298196,-0.019069544290671935,-0.03566819175135565,0.014371713360608138,-0.047835142140774584,-0.0187636484628437,0.008932913455174482,0.0009815973964551502,-0.0014608758960345297,-0.014683191498650517,0.01181054640872383,0.010488781252649602,0.0051531958049754675,-0.0034120922802275697,0.006427211833014614,-0.0004031414845297591,-0.000764641744062205,-0.0035371960032179756,0.005072090246341654,-0.004084108345876474,-0.0015391768463426509,-0.0031339327765855956,-0.0017480054243718573,-0.0026535653256866128,-0.0026565926997404806,-0.003851113644249539,-0.0005325311999763227,-0.006869576746409782,-0.0009683212298990166,0.0011350317108103209,0.0013388206217747653,0.0002152452053000051,0.003109357915677235,0.0025307074387139568,-0.004320027486748492,-0.0035437138195246595,0.0006792668359890394,0.005807478194728217,0.00045051397168235127,0.0026287721274304973,0.0002919290801244056,0.003079281802971565,0.002131191256758527,0.00024113981057197328,0.0005199640239181188,0.00017387267251813487,-0.0002986991209565205,3.267007584659675e-05,-0.00010499179249336988,-8.273190004457594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Oann_80_2017,106116,-0.6423484319421199,-0.10555073133172736,-0.03797995935382605,0.010206863444887472,0.015410411990129014,-0.011427005804816114,-0.029106570851342547,-0.010027566798336548,-0.10068090738469068,0.04724489398892819,-0.003634866658620652,-0.004617636074802215,0.024923601814727674,0.0033157925186058064,-0.08413591068242372,-0.024739412397760844,0.036180685471737514,-0.07428873376479993,-0.0216474880243236,0.0005447795865000763,-0.028795918439372133,-0.02869893028980548,0.0015997176814636165,-0.004306730129784046,0.014212194101927268,0.0042909763791010025,0.008152935779984171,0.006474234272106461,-0.01368037014304072,0.0021308166246641813,0.008212332850465659,0.013692258615852758,0.009275503598409623,-0.012091516452156807,0.01136815880951184,-0.011304015591182541,-0.0090244091863752,0.014263265125637277,-0.004189987968070605,-0.013290657862433877,-0.010720643219813192,-0.009826612612419823,-0.003918562128761709,0.00375027188582155,-0.004156202742336209,-0.0021409721958059085,0.012155226786662584,-0.0071589012723225634,0.0021661319598155265,0.0009642418572822503,0.0002958904174289156,0.0011430261541422622,0.00036764702725173947,-0.0017374809342977425,0.0002859898234727218,-0.0002452644151512565,-0.0009181482745815196,-0.0011800832416864037,-0.000375647952179167,0.00033430083405576146,0.0003362828637044081,-0.00043304012256303843,0.00013260106108955408,0.0005030975079972506,-0.00018159876395947488,-0.00010902844197131503,2.9782683912560946e-05,-7.83989907317006e-05,-2.2643452730315253e-05,-4.214996903090823e-05,-1.4336449498885882e-05,1.3000122235315339e-05,1.1902694512943186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Dlab_13_2017,106117,0.3073547962778361,-0.02727758133981045,-0.09777540327772728,-0.026497234399641478,0.0014365823906092455,0.0004508041672482775,0.011082696575331055,-0.00022715747819360211,-0.02251899197791297,-0.007599570033065391,-0.004727451013750353,-0.08435981066639826,0.002200223970186231,-0.004103265032092257,-0.05685018913816331,0.0961356532759574,-0.002332013979404855,0.005318253761019996,0.041946597004681105,0.0010353563639821908,-0.030584195765869113,0.018977094524609234,-0.01412876058798267,0.02973638941843985,-0.036088538430576696,-0.03616851238974318,0.015174822918355346,-0.0006150513940005796,-0.0025991818188741285,0.010488143232492551,0.022628931227067585,-0.008104932010791606,0.022408346453059273,0.00466884447066154,-0.014568790765600671,0.0033769122610677006,0.011005869139630794,0.007614089123585412,0.00226121015415919,0.0002753829409736729,-0.0004646836792772426,-0.006119051228335579,-3.191102260710483e-05,-0.003160897687869905,0.006634381757733889,-0.0069253214122827434,-0.004838214235086631,-0.0004163383296011512,0.0009554470131881239,-0.0011040233833576596,0.0016701610981360135,0.0020571823313297877,0.003641958901540184,-0.001152330652324971,-7.754741149957494e-05,-0.0003193212864608971,0.00020544161601638875,-0.0007109202729860345,-0.000274867299539152,-0.0005502020108540028,0.00026828706340417023,0.0007788813069028372,-6.475751842670921e-05,-0.0003630268029932336,0.0005992599462881906,0.0002866548875972609,-0.00021113019323198818,0.00017260916568391597,0.0001689082725576351,3.3852789026417384e-05,1.183948671073106e-05,-2.2563667975037957e-05,-5.631608051045783e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Oann_24_2017,106120,-0.5970738583119385,-0.09050893629230232,-0.04482751568581972,0.017171473503840514,-0.015297553762766276,0.014843490728246374,0.00963203323605571,-0.008808097912363326,-0.01251399870296744,0.0206373528100364,0.0026348929580303267,-0.0021686309845417484,0.14137940487458067,0.08304441819409349,0.007673263157447189,-0.01718144930493838,0.0007044955759566873,-0.029992162761775326,0.009762174932319,-0.054283884004251735,-0.033449326142766675,-0.02215758673798197,-0.009026559983191075,-0.018736547040550427,-0.039001988783796654,0.023682077809072898,0.0032096975801756025,0.0022612090692516883,-0.004332053156094508,0.01487105895557151,-0.00941046553065469,-0.004593821971283181,-0.0037054718195743638,0.015193120317431759,-0.013958902767004604,0.006272322301385244,-0.0008418763828404393,0.0031000908396504614,-0.004477067401492899,-0.006144634636574715,0.014255864786631321,-0.0006983193875201556,0.001616885671285543,-0.006196415550297221,-0.005857934132648971,0.0009416791448640895,0.004259905849109333,0.010754345956531415,-0.0004391841824091513,0.0053766895510000716,0.0012761589109931998,-0.0021434165923888762,0.00910449724323196,-0.0012782945704469572,0.0034076599939213783,0.003059692698824835,0.00568659504853768,-0.002650405671332928,-0.004380035431194642,0.0022342303598405755,-0.004189003689317735,-2.144141032728851e-06,0.000615720990299467,0.002572140805518023,0.00018497024235774757,-0.001389263520195428,-0.0004521457682702053,-0.0005408361242180574,-6.530487433300989e-05,-0.0003439528460582662,1.8913287225207794e-05,4.8410072197632285e-05,3.249154373829817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH_Pfur_14_2017,106121,0.018987899744533986,-0.267775410253572,-0.10362493782408715,0.07145547975583756,-0.011910807219809135,0.04568975493080005,0.00340164707040566,0.01481836432004573,-0.031170096394852135,0.053166189255383654,0.026020438145850536,-0.012324379150691872,-0.003124470885728612,-0.00145593338410171,-0.05520074970597896,0.06466192088687264,0.002061439574262147,-0.01142625694463275,-0.006303757156428189,-0.06297534037935706,0.020175438280576524,0.03557843773832954,-0.010987042747641602,0.027430800939847542,-0.00795899599038006,-0.0051517218298052884,0.0006604336379534898,-0.014071271971019171,3.5431492297798054e-05,0.0026252319576286357,-0.002290477140391654,0.00581626273902189,-0.006921417407465528,-0.00504410355700187,-0.0031901683687887293,-0.0048529790946412145,0.005249262652127053,0.004557506923104123,0.002983659001246892,-0.002216472697744179,0.004569639434932658,-0.004074288416319647,0.0005124475740077988,0.0010095701121493649,-0.0018186130639465947,-0.001046503116070112,-0.00011079406452458538,0.0015492876876880366,0.0011964231533977865,0.0015193688307717284,0.0002330610804171865,0.0001745861196918259,-0.00021381207802828,0.0003078832565799568,-0.0006654044893225344,-3.5046878411543613e-05,0.001058773964549974,0.0012171046847775516,-7.589292812967836e-05,0.0006595778092084567,0.0006300530455629991,-0.0008248673384340599,0.00031364902395947307,-0.001303537443278244,-0.0003080411594380473,0.00010754835239007072,-0.00021360948731259186,3.9182016293791374e-05,7.229588499333442e-07,0.00018404897546870995,-4.724270988415109e-06,-2.0595191919702422e-05,4.218953232739379e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WP_Pstr_16_2017,106123,-0.5318599901514769,-0.04290070350887107,0.006899449800411439,0.004112575404563436,0.02069872753201811,-0.0879967841326658,-0.006760770787788978,0.19062722050436776,0.04337128445628393,0.018251992740680966,-0.013284226657748479,0.042638535887852325,-0.007964816696172043,-0.04443085727312618,-0.15405321051784202,0.06760961072269359,0.026823810977602443,0.0684054947412781,-0.0553236211071495,-0.05912698246958287,0.015367762078027323,-0.02646314881581343,-0.0054873967826385575,0.02856149332222547,0.013490666499349253,0.016870703793366044,-0.0019944032071160943,-0.002085735048565836,0.0178421165388259,-0.008836393719439213,-0.004469432008693113,-0.0051799820176949085,-0.0018618602821155667,-0.002183779568910241,0.0008224785458872422,0.0025266127688469355,0.005573137785977006,-0.003204481878258402,-0.0025138557480517245,0.004331084332007616,-0.005154211262998148,0.0015397619235626445,0.0011725721372736401,-0.0013539752452790762,0.0006420045759098135,-0.00043727721659288124,0.0002731338852132099,-0.0017725014211329498,0.0007161524547924856,-0.0007195127515278447,-0.0007776960148354174,-0.0006534828022732416,-7.854069464409636e-05,0.0009649615724857802,-0.0005355815614724019,-0.0003128981539875297,-7.900356466618144e-05,-2.829737186384545e-06,0.00018687767499546591,-2.0754629662952325e-06,0.000263958122410875,-0.00013214725050578297,9.532822229396041e-05,-4.902073518361049e-05,1.1699863496809759e-05,1.9236136417415813e-05,-7.742223223888958e-06,-2.5722943581958176e-05,4.803252953600133e-06,-7.815885248935564e-07,-7.22359732694797e-06,1.7632342743521816e-06,1.5763595752229368e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
