PLUG.ID,sample_name,Site.Name,TIME.POINT,Species,collection_date
ET_Ofav_32_2017,ET_Ofav_32_2017,EastTektite,2017,Orbicella faveolata,2017.07.31
ET_Cnat_33_2017,ET_Cnat_33_2017,EastTektite,2017,Colpophyllia natans,2017.07.31
ET_Dlab_37_2017,ET_Dlab_37_2017,EastTektite,2017,Diploria labrynthiformis,2017.07.31
CH_Ofav_47_2017,CH_Ofav_47_2017,CabritteHorn,2017,Orbicella faveolata,2017.08.02
CH_Mcav_49_2017,CH_Mcav_49_2017,CabritteHorn,2017,Montastraea cavernosa,2017.08.02
ET_Oann_38_2017,ET_Oann_38_2017,EastTektite,2017,Orbicella annularis,2017.07.31
ET_Mcav_39_2017,ET_Mcav_39_2017,EastTektite,2017,Montastraea cavernosa,2017.07.31
ET_Ofra_40_2017,ET_Ofra_40_2017,EastTektite,2017,Orbicella franksi,2017.07.31
ET_Ssid_41_2017,ET_Ssid_41_2017,EastTektite,2017,Siderastrea siderea,2017.07.31
ET_Pstr_42_2017,ET_Pstr_42_2017,EastTektite,2017,Pseudodiploria strigosa,2017.07.31
ET_Pfur_43_2017,ET_Pfur_43_2017,EastTektite,2017,Porites furcata,2019.07.24
ET_Ssid_44_2017,ET_Ssid_44_2017,EastTektite,2017,Siderastrea siderea,2017.07.31
ET_Pstr_45_2017,ET_Pstr_45_2017,EastTektite,2017,Pseudodiploria strigosa,2017.07.31
CH_Dlab_50_2017,CH_Dlab_50_2017,CabritteHorn,2017,Diploria labrynthiformis,2017.08.02
ET_Cnat_60_2017,ET_Cnat_60_2017,EastTektite,2017,Colpophyllia natans,2017.08.02
ET_Dlab_62_2017,ET_Dlab_62_2017,EastTektite,2017,Diploria labrynthiformis,2019.07.24
CH_Ssid_51_2017,CH_Ssid_51_2017,CabritteHorn,2017,Siderastrea siderea,2017.08.02
CH_Oann_56_2017,CH_Oann_56_2017,CabritteHorn,2017,Orbicella annularis,2017.08.02
ET_Cnat_52_2017,ET_Cnat_52_2017,EastTektite,2017,Colpophyllia natans,2017.08.02
ET_Pfur_53_2017,ET_Pfur_53_2017,EastTektite,2017,Porites furcata,2017.08.02
ET_Pstr_54_2017,ET_Pstr_54_2017,EastTektite,2017,Pseudodiploria strigosa,2017.08.02
ET_Mcav_55_2017,ET_Mcav_55_2017,EastTektite,2017,Montastraea cavernosa,2017.08.02
ET_Dlab_57_2017,ET_Dlab_57_2017,EastTektite,2017,Diploria labrynthiformis,2017.08.02
ET_Ofra_59_2017,ET_Ofra_59_2017,EastTektite,2017,Porites furcata,2017.08.02
WP_Dlab_63_2017,WP_Dlab_63_2017,EastTektite,2017,Diploria labrynthiformis,2017.08.03
WP_Ssid_72_2017,WP_Ssid_72_2017,WhitePoint,2017,Siderastrea siderea,2017.08.03
WP_Ssid_92_2017,WP_Ssid_92_2017,WhitePoint,2017,Siderastrea siderea,2017.08.03
WP_Ssid_93_2017,WP_Ssid_93_2017,WhitePoint,2017,Siderastrea siderea,2017.08.03
WP_Ofav_64_2017,WP_Ofav_64_2017,WhitePoint,2017,Orbicella faveolata,2017.08.03
WP_Ofra_65_2017,WP_Ofra_65_2017,WhitePoint,2017,Orbicella franksi,2017.08.03
WP_Pstr_66_2017,WP_Pstr_66_2017,WhitePoint,2017,Pseudodiploria strigosa,2017.08.03
WP_Oann_67_2017,WP_Oann_67_2017,WhitePoint,2017,Orbicella annularis,2017.08.03
WP_Pstr_68_2017,WP_Pstr_68_2017,WhitePoint,2017,Pseudodiploria strigosa,2017.08.03
WP_Mcav_69_2017,WP_Mcav_69_2017,WhitePoint,2017,Montastraea cavernosa,2017.08.03
WP_Mcav_70_2017,WP_Mcav_70_2017,WhitePoint,2017,Montastraea cavernosa,2017.08.03
WP_Ssid_73_2017,WP_Ssid_73_2017,WhitePoint,2017,Siderastrea siderea,2017.08.03
WP_Ssid_108_2017,WP_Ssid_108_2017,WhitePoint,2017,Siderastrea siderea,2017.08.04
WP_Ssid_109_2017,WP_Ssid_109_2017,WhitePoint,2017,Siderastrea siderea,2017.08.04
WP_Ssid_96_2017,WP_Ssid_96_2017,WhitePoint,2017,Siderastrea siderea,2017.08.03
ET_Pfur_74_2017,ET_Pfur_74_2017,EastTektite,2017,Porites furcata,2017.08.03
WP_Ssid_76_2017,WP_Ssid_76_2017,WhitePoint,2017,Siderastrea siderea,2017.08.17
WP_Ssid_104_2017,WP_Ssid_104_2017,WhitePoint,2017,Siderastrea siderea,2017.08.04
WP_Ssid_105_2017,WP_Ssid_105_2017,WhitePoint,2017,Siderastrea siderea,2017.08.04
WP_Ssid_77_2017,WP_Ssid_77_2017,WhitePoint,2017,Siderastrea siderea,2017.08.04
WP_Ssid_107_2017,WP_Ssid_107_2017,WhitePoint,2017,Siderastrea siderea,2017.08.04
