sample_name,A4-A4ab-A4aa,A3,A4,A13,B1-B1x-B1t-B14b-B1af-B1ae-B1ag,B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h,B1-B1z-B1aa-B1ad-B1ac-B1ab,B1,B19-B5af-B19e-B19c-B19d-B19g-B19f,B1-B1x-B1ai-B5ah,B1-B1al-B1aj-B1ak-B1aa,B1-B1g,B1-B1ah-B1aa,B5,B1-B1x-B1t-B14b,B19,B5ai,C3-C16a,C7/C7d/C12c-C12b-C12e-C7h-C3-C7g,C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s,C3fe-C3-C3fg-C3b-C3ag-C21,C3/C7,C3-C3a-C16a,C7/C12c-C7d-C12b-C12e,C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd,C47/C44,C54a-C54b-C3-C54d-C54c,C42.2,C3,C45a,C3/C3b,C3/C3a,C3/C3a-C3b,C1/C3/C1c-C1al,C1/C3-C1c-C1b-C72k-C1w,C46,C7,C1/C42.2/C3-C1b,C21/C3,C1/C3/C1b,D1-D4-D4c-D17d-D1r-D17e,D1-D4-D4c-D1c-D2-D1k,D1/D4-D4c-D1c,D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k,D1-D4-D4c-D6-D2-D4f
CH_Ssid_51_2019,0,0,0,0,0,0,29865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH_Dlab_79_2017,0,0,0,0,0,0,8950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_Dlab_23_2017,0,0,0,0,0,0,13062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET_Dlab_37_2019,0,0,0,0,0,0,10780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_Dlab_23_2019,0,0,0,0,0,0,15496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET_Dlab_36_2018,0,0,0,0,0,0,0,33295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_Dlab_20_2019,0,0,0,0,0,0,0,17626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_Dlab_63_2017,0,0,0,0,0,0,0,10907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_Dlab_20_2017,0,0,0,0,0,0,0,7813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_Pstr_66_2019,0,0,0,0,0,0,0,3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
