Domain,Phylum,Class,Order,Family,Genus,Species,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C45a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C3/C3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C3/C3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C3/C3a-C3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,S. goreaui,C1/C3/C1c-C1al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,S. goreaui,C1/C3-C1c-C1b-C72k-C1w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,S. goreaui,C1/C42.2/C3-C1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,None,C21/C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Cladocopium,S. goreaui,C1/C3/C1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Durusdinium,S. trenchii,D1-D4-D4c-D17d-D1r-D17e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Durusdinium,S. trenchii,D1-D4-D4c-D1c-D2-D1k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Durusdinium,S. trenchii,D1/D4-D4c-D1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Durusdinium,S. trenchii,D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota,Myzozoa,Dinophycaea,Suessiales,Symbiodiniaceae,Durusdinium,"S. glynnii,S. trenchii",D1-D4-D4c-D6-D2-D4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
