host_id,year,sample_name,sample_name_incorrect,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,host_site,collector
47,2018,CH_Ofav_47_2018,CH_Ofav_47_2018,PLATE2-B8-365_S141_L001_R1_001.fastq.gz,PLATE2-B8-365_S141_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,18.300112,64.716752,2018.08.15,7.7,CabritteHorn,PeterEdmunds
32,2017,ET_Ofav_32_2017,ET_Ofav_32_2017,PLATE1-C8-45_S52_L001_R1_001.fastq.gz,PLATE1-C8-45_S52_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,18.300189,64.716774,2017.07.31,7.6,EastTektite,RossCunning
18,2017,WP_Ofav_18_2017,WP_Ofav_18_2017,PLATE1-B6-24_S37_L001_R1_001.fastq.gz,PLATE1-B6-24_S37_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,18.300253,64.716935,2017.07.30,8.8,WhitePoint,RossCunning
18,2019,WP_Ofav_18_2019,WP_Ofav_18_2019,PLATE2-G7-49_S138_L001_R1_001.fastq.gz,PLATE2-G7-49_S138_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,18.300253,64.716935,2019.07.29,8.8,WhitePoint,BethLenz
64,2017,WP_Ofav_64_2017,WP_Ofav_64_2017,PLATE1-F2-83_S13_L001_R1_001.fastq.gz,PLATE1-F2-83_S13_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,18.300253,64.716935,2017.08.03,8.6,WhitePoint,RossCunning
64,2019,WP_Ofav_64_2019,WP_Ofav_64_2019,PLATE2-H11-65_S170_L001_R1_001.fastq.gz,PLATE2-H11-65_S170_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,18.300253,64.716935,2019.07.29,8.6,WhitePoint,BethLenz
81,2017,CH_Ofra_81_2017,CH_Ofra_81_2017,PLATE1-A11-15_S71_L001_R1_001.fastq.gz,PLATE1-A11-15_S71_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300112,64.716752,2017.07.30,7.8,CabritteHorn,RossCunning
81,2018,CH_Ofra_81_2018,CH_Ofra_81_2018,PLATE2-C4-373_S110_L001_R1_001.fastq.gz,PLATE2-C4-373_S110_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300112,64.716752,2018.08.15,7.8,CabritteHorn,PeterEdmunds
81,2019,CH_Ofra_81_2019,CH_Ofra_81_2019,PLATE2-F1-30_S89_L001_R1_001.fastq.gz,PLATE2-F1-30_S89_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300112,64.716752,2019.07.27,7.8,CabritteHorn,BethLenz
40,2017,ET_Ofra_40_2017,ET_Ofra_40_2017,PLATE1-D4-53_S25_L001_R1_001.fastq.gz,PLATE1-D4-53_S25_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300189,64.716774,2017.07.31,9.1,EastTektite,RossCunning
40,2018,ET_Ofra_40_2018,ET_Ofra_40_2018,PLATE2-B2-359_S93_L001_R1_001.fastq.gz,PLATE2-B2-359_S93_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300189,64.716774,2018.08.13,9.1,EastTektite,PeterEdmunds
40,2019,ET_Ofra_40_2019,ET_Ofra_40_2019,PLATE2-D10-14_S158_L001_R1_001.fastq.gz,PLATE2-D10-14_S158_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300189,64.716774,2019.07.24,9.1,EastTektite,BethLenz
59,2017,ET_Ofra_59_2017,ET_Ofra_59_2017,PLATE1-E9-78_S61_L001_R1_001.fastq.gz,PLATE1-E9-78_S61_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300189,64.716774,2017.08.02,8,EastTektite,RossCunning
59,2019,ET_Ofra_59_2019,ET_Ofra_59_2019,PLATE2-E1-17_S88_L001_R1_001.fastq.gz,PLATE2-E1-17_S88_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300189,64.716774,2018.08.13,8,EastTektite,BethLenz
17,2017,WP_Ofra_17_2017,WP_Ofra_17_2017,PLATE1-B5-23_S30_L001_R1_001.fastq.gz,PLATE1-B5-23_S30_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300253,64.716935,2017.07.30,8.6,WhitePoint,RossCunning
17,2019,WP_Ofra_17_2019,WP_Ofra_17_2019,PLATE2-G1-42_S90_L001_R1_001.fastq.gz,PLATE2-G1-42_S90_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300253,64.716935,2019.07.29,8.6,WhitePoint,BethLenz
65,2017,WP_Ofra_65_2017,WP_Ofra_65_2017,PLATE1-F3-84_S20_L001_R1_001.fastq.gz,PLATE1-F3-84_S20_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300253,64.716935,2017.08.03,8.9,WhitePoint,RossCunning
65,2019,WP_Ofra_65_2019,WP_Ofra_65_2019,PLATE2-H8-62_S146_L001_R1_001.fastq.gz,PLATE2-H8-62_S146_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,franksi,18.300253,64.716935,2019.07.29,8.9,WhitePoint,BethLenz
6,2017,CH_Mcav_06_2017,CH_Mcav_06_2017,PLATE1-A6-8_S36_L001_R1_001.fastq.gz,PLATE1-A6-8_S36_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2017.07.29,7.3,CabritteHorn,RossCunning
6,2018,CH_Mcav_06_2018,CH_Mcav_06_2018,PLATE2-B10-367_S156_L001_R1_001.fastq.gz,PLATE2-B10-367_S156_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2018.08.15,7.3,CabritteHorn,PeterEdmunds
6,2019,CH_Mcav_06_2019,CH_Mcav_06_2019,PLATE2-E12-29_S175_L001_R1_001.fastq.gz,PLATE2-E12-29_S175_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2019.07.27,7.3,CabritteHorn,BethLenz
49,2017,CH_Mcav_49_2017,CH_Mcav_49_2017,PLATE1-D12-66_S81_L001_R1_001.fastq.gz,PLATE1-D12-66_S81_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2017.08.02,8.8,CabritteHorn,RossCunning
49,2018,CH_Mcav_49_2018,CH_Mcav_49_2018,PLATE2-B7-364_S133_L001_R1_001.fastq.gz,PLATE2-B7-364_S133_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2018.08.15,8.8,CabritteHorn,PeterEdmunds
49,2019,CH_Mcav_49_2019,CH_Mcav_49_2019,PLATE2-F4-33_S113_L001_R1_001.fastq.gz,PLATE2-F4-33_S113_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2019.07.27,8.8,CabritteHorn,BethLenz
58,2017,CH_Mcav_58_2017,CH_Mcav_58_2017,PLATE1-A4-6_S22_L001_R1_001.fastq.gz,PLATE1-A4-6_S22_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2017.07.29,8.2,CabritteHorn,RossCunning
58,2018,CH_Mcav_58_2018,CH_Mcav_58_2018,PLATE2-C3-372_S102_L001_R1_001.fastq.gz,PLATE2-C3-372_S102_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2018.08.15,8.2,CabritteHorn,PeterEdmunds
58,2019,CH_Mcav_58_2019,CH_Mcav_58_2019,PLATE2-F5-34_S121_L001_R1_001.fastq.gz,PLATE2-F5-34_S121_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300112,64.716752,2019.07.27,8.2,CabritteHorn,BethLenz
34,2017,ET_Mcav_34_2017,ET_Mcav_34_2017,PLATE1-C10-47_S66_L001_R1_001.fastq.gz,PLATE1-C10-47_S66_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2017.07.31,7.8,EastTektite,RossCunning
34,2018,ET_Mcav_34_2018,ET_Mcav_34_2018,PLATE2-A5-299_S116_L001_R1_001.fastq.gz,PLATE2-A5-299_S116_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2018.08.13,7.8,EastTektite,PeterEdmunds
34,2019,ET_Mcav_34_2019,ET_Mcav_34_2019,PLATE2-D1-5_S87_L001_R1_001.fastq.gz,PLATE2-D1-5_S87_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2019.07.24,7.8,EastTektite,BethLenz
39,2017,ET_Mcav_39_2017,ET_Mcav_39_2017,PLATE1-D3-52_S18_L001_R1_001.fastq.gz,PLATE1-D3-52_S18_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2017.07.31,9.8,EastTektite,RossCunning
39,2018,ET_Mcav_39_2018,ET_Mcav_39_2018,PLATE2-B3-360_S101_L001_R1_001.fastq.gz,PLATE2-B3-360_S101_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2018.08.13,9.8,EastTektite,PeterEdmunds
39,2019,ET_Mcav_39_2019,ET_Mcav_39_2019,PLATE2-D12-16_S174_L001_R1_001.fastq.gz,PLATE2-D12-16_S174_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2019.07.24,9.8,EastTektite,BethLenz
55,2017,ET_Mcav_55_2017,ET_Mcav_55_2017,PLATE1-E7-76_S47_L001_R1_001.fastq.gz,PLATE1-E7-76_S47_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,18.300189,64.716774,2017.08.02,8.6,EastTektite,RossCunning
