sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B1,64384,0.31118013215614415,-0.043495250878246114,-5.713067660008759e-17,-0.0022079191595875095,-0.061918505714963094,-0.1695340651698356,0.06867780345640816,-0.03709120085053437,-0.002930588021251568,0.0005515237068109043,0.018242601265866618,-0.0002708954437063293,0.0
B5,64386,-0.3207324746139422,0.5156272711394391,-0.4999999999999999,-0.024382279883024528,-0.009519302526640306,-0.0018772185385259631,-0.001566776868100793,0.0008597063330048094,0.00010424800856701778,0.0029153648180505073,1.3050776531958968e-09,4.9944269083929145e-05,0.0
B1-B1g,64391,0.3111791379704583,-0.043494902030148615,5.887846720064152e-17,-0.002207891847579863,-0.06191986598377268,-0.16953740983908572,0.06867981491057183,-0.03709262732582933,-0.0029307471158244777,0.0005513846939011801,-0.018242215781599784,-0.0002751717811306063,0.0
B19-B5af-B19e-B19c-B19d-B19g-B19f,64395,-0.6281299541396312,-0.28328299623649805,1.1775693440128305e-16,-0.10371597503471278,-0.004295439387483087,-0.0011035620930380668,-0.0015897434594549832,0.0016065994825121663,0.00035346561691848837,0.10744678002269115,-1.8559077697416546e-09,-7.061610913748448e-05,0.0
B1-B1z-B1aa-B1ad-B1ac-B1ab,64396,0.30113608476993475,-0.0387349186608951,7.85046229341887e-17,-0.0012050871461936597,0.07593670819861373,-0.023755736480215655,-0.19935493802993562,-0.08294987885329053,-0.038525496322445195,0.0005453100908249924,-2.2333515070377635e-07,0.0012324072157736436,0.0
B1-B1x-B1t-B14b-B1af-B1ae-B1ag,64397,0.3013893659610615,-0.03962742890141368,8.831770080096228e-17,-0.0017495274822627305,-0.08879320437389127,0.18113361691744134,0.026591961369668276,-0.07918066275997482,0.08422329416657805,0.0004894997501538735,1.2140162863167894e-06,-0.00921292242989328,0.0
B1-B1ah-B1aa,64398,0.3109610497438607,-0.04267056304215851,-1.9626155733547174e-17,-0.001739676327286256,0.04226166249784225,-0.06975556368810544,-0.07699282405829362,0.13119271547503145,0.09376451982462267,-0.0008459034684227769,1.229164211323714e-07,-0.0017440833537864298,0.0
B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h,64399,-0.5996529811338335,-0.2576427603212322,-3.925231146709435e-17,-0.2814379284290019,-3.348558673180515e-05,3.4840282679712766e-05,0.00044267133829435,-0.0008198840417381235,-0.00022905917792329916,-0.08696563828773791,2.367842922953164e-09,9.028342124522733e-05,0.0
B1-B1x-B1ai-B5ah,64400,0.3135291862560083,-0.04442826120354058,3.925231146709435e-17,-0.002347488167654151,-0.1004243333751108,0.07961603152699041,0.005184844097248689,0.08112041899229568,-0.10967768264701747,-0.00031279582197921537,1.333301649470892e-06,-0.010422880238846566,0.0
B1-B1al-B1aj-B1ak-B1aa,64404,0.25290502505945567,-0.018480583600540706,7.85046229341887e-17,0.0019276400598508196,0.3389737132220666,0.06226241668687318,0.09392038021973866,-0.0005078971137214765,-0.017008797553572493,0.0015303925809223848,-1.650102364232489e-07,0.0009932200453716636,0.0
B1-B1x-B1t-B14b,64405,0.31788072669853645,-0.04603730442940976,4.9065389333867935e-17,-0.0025292558835798462,-0.11544785568384089,0.11533410685315143,0.018165575570623035,0.021889700255468176,-0.007214785365869899,0.0007511004374342296,-2.6719427527934508e-06,0.019525497005352402,0.0
B19,64408,-0.5509128241141117,-0.17335957297479485,2.1588771306901892e-16,0.44597766918405785,-0.0053007887594492655,-0.000940237919803974,-0.00059199167866664,0.00011330407377226855,-3.2619421350138035e-05,-0.0295723833407004,1.447425120505299e-09,5.5273130578592065e-05,0.0
B5ai,64411,-0.3207324746139418,0.5156272711394395,0.4999999999999996,-0.024382279883024664,-0.009519302526640358,-0.0018772185385260254,-0.0015667768681008024,0.0008597063330048574,0.00010424800856703614,0.0029153648180505133,1.305077656418152e-09,4.994426908392809e-05,0.0
proportion_explained,0,0.5063163792265963,0.18279378759797646,0.1266699822537817,0.07348943869250307,0.040952114671674304,0.030210973594743572,0.016466304279649645,0.010178716463789166,0.007538760585953868,0.005067868933114208,0.00016861572035647634,0.000147057979861333,0.0
