sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B1,64384,-0.06501190808482818,-0.005541453712138078,0.0009375716331215686,0.00020752488462352775,3.686722290744993e-05,0.000906999300110918,0.0006646021483618422,-0.0005460970798576569,0.0008917006159234012,0.0,0.0,0.0,0.0
B1-B1g,64391,-0.06626507523881932,-0.006128724014285497,0.0008288240143298065,0.00019309220114045562,-0.00025424043188037085,0.0006858385659813123,0.0005440467437885024,0.001235261907191588,-0.0009097880037962085,0.0,0.0,0.0,0.0
B1-B1z-B1aa-B1ad-B1ac-B1ab,64396,-0.07721106852987837,-0.012134449247732791,0.005697670332421974,0.00010804060058778572,-0.015615982977115922,0.0009177383243807729,0.001950932265828305,-0.00014906168055621325,6.488787647586608e-06,0.0,0.0,0.0,0.0
B1-B1x-B1t-B14b-B1af-B1ae-B1ag,64397,-0.07984365077775438,-0.014036815987856874,-0.015251513964988594,-0.00014552458619024623,0.0025077627068695717,0.008115071404844635,0.0005155423272320068,0.00073080864754958,0.00027139802792773457,0.0,0.0,0.0,0.0
B1-B1ah-B1aa,64398,-0.08145074632943208,-0.01504099709449397,0.01573953356550768,-0.00010828884305104608,0.007882780300111825,-0.00010963753594982278,0.00691032150928772,-8.01584519180103e-05,5.208244274596558e-06,0.0,0.0,0.0,0.0
B1-B1x-B1ai-B5ah,64400,-0.07573119782181154,-0.011527055932325276,-0.008551692795987834,1.787906368095846e-05,0.0004866155680061632,-0.010393455992884174,-0.0004935481552848604,0.0008727880783455276,0.00032262131632333036,0.0,0.0,0.0,0.0
B1-B1al-B1aj-B1ak-B1aa,64404,-0.07779623437781988,-0.012831649939588012,0.011032861695438134,6.488722991247741e-06,0.002423973907028652,0.0010648214456696352,-0.01047887459951216,-8.842637102644174e-05,2.7227716769768308e-06,0.0,0.0,0.0,0.0
B1-B1x-B1t-B14b,64405,-0.07564253017582279,-0.01172737809710305,-0.011175716686904098,-2.898346569952127e-05,0.001765262438081961,-0.0016015888606650329,0.00016780967437893086,-0.001900484221879268,-0.0005961560589634949,0.0,0.0,0.0,0.0
B5,64386,-0.028388434534466437,0.021794686497847465,0.0007219252708182643,0.0010532834225896156,0.0006590582264423003,0.0004321279300025449,0.00023797741579731916,-7.572636004866536e-05,6.570414088570753e-06,0.0,0.0,0.0,0.0
B19-B5af-B19e-B19c-B19d-B19g-B19f,64395,0.23480194234782142,-0.002931724680013136,4.912482312480346e-05,-0.015657898545429698,-0.00010344100475378454,-3.197888376133258e-05,-1.637089441266855e-05,3.4964279113347435e-07,-9.567464590250497e-09,0.0,0.0,0.0,0.0
B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h,64399,0.26036451436222974,-0.005527321709365352,-0.00011220159535111628,0.014719616619659023,4.706718733276318e-05,-3.183296969801318e-06,-2.7398650947124424e-06,2.1922716166545427e-07,-6.347831860763516e-09,0.0,0.0,0.0,0.0
B19,64408,0.1894027175018326,0.0010830249401223898,0.00011491903476844286,-0.0005396948086174933,8.600485654445686e-05,4.238446780261642e-05,2.163333477686542e-05,-5.433729197969707e-07,-9.862236305715669e-08,0.0,0.0,0.0,0.0
B5ai,64411,-0.057228328341250995,0.07454985897693213,-3.130532629945192e-05,0.00017446473371654733,7.827200042359376e-05,-2.5136868562264976e-05,-2.1331905148899202e-05,1.0700351722028814e-06,-6.515774524698873e-07,0.0,0.0,0.0,0.0
proportion_explained,0,0.9579971238757722,0.03292077706090179,0.003844789037164546,0.0021345504169912673,0.0014834318488243154,0.0008287481742294627,0.0007494446005077932,3.120322218309068e-05,9.931763425516641e-06,0.0,0.0,0.0,0.0
