sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
WP_Ssid_21_2017,106128,-0.2047916354334013,0.013118824925844168,-0.01884196385955097,-0.02937289093683089,0.0033454130236185817,-0.001113492095134344,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ssid_26_2017,106133,-0.017247649624753746,0.025680672307571067,-0.02229477961539613,0.001440282386250037,-0.028588547601320936,-0.013755214375680669,0.0,0.0,0.0,0.0,0.0,0.0
WP_Cnat_31_2017,106137,0.1175265129139753,-0.028608154878841136,0.023014687869312093,-0.03335027392900134,0.003189682066490649,-0.0014820481876600259,0.0,0.0,0.0,0.0,0.0,0.0
WP_Cnat_31_2019,106248,0.12593517292054426,-0.03611036994346891,0.024996209274286505,0.015579659143617313,-0.006878552297996509,0.0021896924133185456,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ssid_96_2017,106180,-0.0763139135030907,0.019818955241226312,0.011819386991439714,0.019150407416802465,0.014673231459741838,-0.010880639757600886,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ssid_77_2017,106186,-0.2111448822113808,-0.0699462830698465,-0.0020075412956079416,0.0091844184557656,0.003999313634962069,-5.106532934857503e-05,0.0,0.0,0.0,0.0,0.0,0.0
CH_Cnat_48_2018,106211,-0.09664913219236984,0.02978781806762866,0.06253982302940655,-0.0005549982999235191,-0.006144567174424697,0.007443971098753915,0.0,0.0,0.0,0.0,0.0,0.0
CH_Ssid_07_2017,106114,-0.0657414151022122,0.03357473354733733,-0.02734880254615754,0.014075369948924344,0.0012021629019419993,0.014539183241662406,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ssid_109_2017,106179,0.1004216906420599,0.010321607241753275,0.02469689126462829,0.0025327770113245497,-0.005358278177935006,0.0010631482916382518,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ssid_105_2017,106185,0.09530525659521588,-0.022501577751391895,-0.02187782862631678,0.00791197615638207,0.008682919997534,-0.007545047712917404,0.0,0.0,0.0,0.0,0.0,0.0
ET_Cnat_61_2018,106193,0.13440078318086743,0.042467259185367555,-0.01079799386941115,-0.0033386912467260627,0.018719844444232345,-0.0017512653258389028,0.0,0.0,0.0,0.0,0.0,0.0
WP_Ssid_45_2019,106263,0.09829921181454572,-0.017603484873179802,-0.04389808861663275,-0.0032580361065847243,-0.006842622276844807,0.011342777738807609,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.865936520231212,0.06146313434505049,0.047075926548073174,0.014016669916362415,0.007850221470281972,0.003657527489020018,0.0,0.0,0.0,0.0,0.0,0.0
