sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
WP_Ssid_21_2017,106128,-0.4954877704077245,0.07402461657396,0.1090870907821115,-0.009308227392351744,-0.0012953193902243566,0.0029163890782100466,-0.0002787332204852897,0.0007580386734649293,-0.0,0.0,0.0,0.0
WP_Ssid_26_2017,106133,-0.13207591975258537,-0.03785992686652826,-0.0016714786004630418,-0.004702911941427241,0.09870405869702956,0.01406235117757781,0.008472453978871383,-0.004983636271132539,-0.0,0.0,0.0,0.0
WP_Cnat_31_2017,106137,0.31857190351316816,0.13227182143276173,0.07942812299534656,-0.010251417725584232,-0.005055016817381436,-0.020729266359003757,0.0013398375217583299,-0.000417749395420578,-0.0,0.0,0.0,0.0
WP_Cnat_31_2019,106248,0.341755183034434,0.04644668047638839,-0.03562246958012666,-0.03170796670971646,-0.009276852323124586,0.04828074934441738,-0.02034695042806547,9.635399745092905e-05,-0.0,0.0,0.0,0.0
WP_Ssid_96_2017,106180,-0.3204066549348614,-0.03808267730130531,-0.01656788470442686,0.03965198724314942,-0.05677493527325942,0.021163914783495406,0.015130153771760661,-0.007736003475805355,-0.0,0.0,0.0,0.0
WP_Ssid_77_2017,106186,-0.32688739313991644,0.09573947214109639,-0.08298790464521898,0.052771147744926875,0.0070682269418377245,-0.012368072868183911,-0.006392391004151238,-0.0012362228663644838,-0.0,0.0,0.0,0.0
CH_Cnat_48_2018,106211,-0.29681146262799707,-0.08726342900692673,-0.02401880773156413,-0.08381764594528805,-0.017025266867855177,-0.03294157303070333,-0.009623220514114763,-0.003138700482344918,-0.0,0.0,0.0,0.0
CH_Ssid_07_2017,106114,-0.2991415508524811,-0.053070137872844356,-0.0034885060698133298,0.01095923967041169,-0.0010178694773599498,0.010822765105193798,-0.00930367128874825,0.014998693131837553,-0.0,0.0,0.0,0.0
WP_Ssid_109_2017,106179,0.2725052952236232,-0.04309863954808288,0.030276694000677506,-0.03232664159649931,-0.015754286714994025,0.018619713063634885,0.0195247368190308,-0.00034863836510193097,-0.0,0.0,0.0,0.0
WP_Ssid_105_2017,106185,0.2729738626734633,0.016257489334181516,-0.05699962343540681,0.002779755049749291,-0.001446326707993852,-0.01594623985789856,-0.008073326151140117,-0.006657932395134498,-0.0,0.0,0.0,0.0
ET_Cnat_61_2018,106193,0.38023998144685045,-0.1225941202068477,0.06987000942274238,0.06801357624570167,0.0009581880747862076,-0.015385531912991005,-0.012673959549767883,-0.0006847069753220934,-0.0,0.0,0.0,0.0
WP_Ssid_45_2019,106263,0.28476452582402595,0.01722885084414606,-0.06730524243385957,-0.0020608946430735508,0.000915399858539459,-0.01849519852374667,0.02222507006505388,0.00935050442387683,-0.0,0.0,0.0,0.0
proportion_explained,0,0.8946215427812049,0.046834961070205704,0.029376208686388582,0.013248659734101382,0.00984189459004556,0.0042830656737654444,0.0014667591242854348,0.0003269083400027512,0.0,0.0,0.0,0.0
