sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
CH_Ssid_07_2017,106114,0.013982735402554194,-0.03822609477121855,0.0013386178244642849,-0.022185660129831863,-0.015612962242906472,0.012249935883106414,0.015698123603838713,0.0007088008116694618,-0.0,0.0,0.0,0.0
WP_Ssid_21_2017,106128,0.11272161656552523,-0.035718062090320836,0.004009166653319836,-0.026373103546209246,-0.018843031781989327,-0.014923631277436206,-0.011689680106613854,0.002416747082073897,-0.0,0.0,0.0,0.0
WP_Ssid_26_2017,106133,0.010704526871698644,-0.029464668394144702,0.0055838608971764455,0.021881992550288252,-0.01883598098144274,0.02330101232493895,-0.009881786412313952,-0.0013227296452278912,-0.0,0.0,0.0,0.0
WP_Cnat_31_2017,106137,-0.04589260851247046,0.041653080493402626,0.0002700664655211466,-0.026227918115765848,0.01725917342645061,0.015673545770185832,-0.0028141367941584804,0.008597097640554245,-0.0,0.0,0.0,0.0
WP_Ssid_109_2017,106179,-0.07281447133937598,0.012224907249459953,0.03544370199433294,0.02931393142163532,0.008060985311945833,0.0029784100421187463,-0.003642901311317696,0.0012208983091785699,-0.0,0.0,0.0,0.0
WP_Ssid_96_2017,106180,0.030663886700958924,-0.04997490298829764,-0.012926082327578288,-0.004488690385822137,0.0324204046991294,0.01096066718522087,0.0031929311752912737,-0.0056348728637449315,-0.0,0.0,0.0,0.0
WP_Ssid_105_2017,106185,-0.06987450741697826,0.01818602449898345,-0.01615178260040647,0.007127034783150261,-0.015243061775227239,-0.00118328514391196,-0.009637655255316954,-0.0022452327852588486,-0.0,0.0,0.0,0.0
WP_Ssid_77_2017,106186,0.18349872975459366,0.04879537027853471,-0.04320316829169365,0.02214066122289598,0.009784372846713416,-0.0025582730217601902,0.0015132025453782894,0.0007649630707358154,-0.0,0.0,0.0,0.0
ET_Cnat_61_2018,106193,-0.10885663912407677,-0.04767175550404693,-0.027206396797749548,0.00264752941996105,0.01799287362233994,-0.02150916179327839,-0.0036785308324115617,0.0016616911537819484,-0.0,0.0,0.0,0.0
CH_Cnat_48_2018,106211,0.06415907182815417,0.002287639806918884,0.07177452072645132,0.010740676335944006,0.005795818689724727,-0.013188044987710305,0.006927580184766091,0.00042848481130490745,-0.0,0.0,0.0,0.0
WP_Cnat_31_2019,106248,-0.04361030401258312,0.06466667127907343,0.008940268365196303,-0.030157469676742446,-0.001481578282666866,-0.0041286150634410185,-0.001217932464446331,-0.007994169711387302,-0.0,0.0,0.0,0.0
WP_Ssid_45_2019,106263,-0.07468203671800017,0.013241790141655675,-0.02787277290903442,0.01558101612049678,-0.021297013532071436,-0.007672559918033045,0.015230785667304556,0.001398322126319804,-0.0,0.0,0.0,0.0
proportion_explained,0,0.6793737763346718,0.14126088048465987,0.08433420488663286,0.04115102723957549,0.028594316305709164,0.01638699273718525,0.007353026618237861,0.0015457753933277294,0.0,0.0,0.0,0.0
